Geographic Area,City,percent_completed_hs
DC,Washington ,89.3
FL,Acacia Villas CDP,81.7
FL,Alachua city,93.4
FL,Alafaya CDP,93.9
FL,Alford town,72.8
FL,Allentown CDP,95.2
FL,Altamonte Springs city,93.2
FL,Altha town,93.9
FL,Altoona CDP,69.4
FL,Alturas CDP,79.8
FL,Alva CDP,82.6
FL,Andrews CDP,73.1
FL,Anna Maria city,99.2
FL,Apalachicola city,83.7
FL,Apollo Beach CDP,94.4
FL,Apopka city,86.6
FL,Arcadia city,74.8
FL,Archer city,90.6
FL,Aripeka CDP,92.5
FL,Asbury Lake CDP,91
FL,Astatula town,80.4
FL,Astor CDP,71.7
FL,Atlantic Beach city,94.9
FL,Atlantis city,96
FL,Auburndale city,81.1
FL,Aucilla CDP,71.4
FL,Avalon CDP,89
FL,Aventura city,93.8
FL,Avon Park city,72
FL,Azalea Park CDP,78
FL,Babson Park CDP,89.6
FL,Bagdad CDP,84.6
FL,Baldwin town,75.6
FL,Bal Harbour village,96.6
FL,Balm CDP,76.9
FL,Bardmoor CDP,90.3
FL,Bartow city,83.4
FL,Bascom town,86.7
FL,Bay Harbor Islands town,93.2
FL,Bay Hill CDP,95.5
FL,Bay Lake city,88.9
FL,Bayonet Point CDP,85.6
FL,Bay Pines CDP,94.3
FL,Bayport CDP,100
FL,Bayshore Gardens CDP,81.1
FL,Beacon Square CDP,86.8
FL,Bear Creek CDP,92.2
FL,Bee Ridge CDP,93.9
FL,Bell town,80.1
FL,Bellair-Meadowbrook Terrace CDP,91
FL,Belleair town,96
FL,Belleair Beach city,94.2
FL,Belleair Bluffs city,94.7
FL,Belleair Shore town,98.2
FL,Belle Glade city,63.6
FL,Belle Isle city,95.8
FL,Belleview city,76
FL,Bellview CDP,90.9
FL,Berrydale CDP,80.9
FL,Beverly Beach town,91
FL,Beverly Hills CDP,85.7
FL,Big Coppitt Key CDP,97.4
FL,Big Pine Key CDP,93.9
FL,Biscayne Park village,87.7
FL,Bithlo CDP,84.5
FL,Black Diamond CDP,97
FL,Black Hammock CDP,96
FL,Bloomingdale CDP,96.2
FL,Blountstown city,79.4
FL,Boca Raton city,96
FL,Bokeelia CDP,94.1
FL,Bonifay city,79.6
FL,Bonita Springs city,84.1
FL,Boulevard Gardens CDP,64.9
FL,Bowling Green city,61.6
FL,Boynton Beach city,86.8
FL,Bradenton city,84.9
FL,Bradenton Beach city,92.3
FL,Bradley Junction CDP,67.4
FL,Brandon CDP,91.7
FL,Branford town,75.2
FL,Brent CDP,84.5
FL,Briny Breezes town,93.4
FL,Bristol city,70.8
FL,Broadview Park CDP,66.9
FL,Bronson town,85.5
FL,Brooker town,82.4
FL,Brookridge CDP,89.1
FL,Brooksville city,82.2
FL,Brownsdale CDP,89.5
FL,Brownsville CDP,70.6
FL,Buckhead Ridge CDP,77.8
FL,Buckingham CDP,90.4
FL,Buenaventura Lakes CDP,78.8
FL,Bunnell city,85
FL,Burnt Store Marina CDP,97
FL,Bushnell city,79
FL,Butler Beach CDP,95
FL,Cabana Colony CDP,94.2
FL,Callahan town,81.2
FL,Callaway city,89.8
FL,Campbell CDP,88.4
FL,Campbellton town,75.7
FL,Canal Point CDP,80.5
FL,Cape Canaveral city,93.4
FL,Cape Coral city,90.4
FL,Captiva CDP,91.3
FL,Carrabelle city,70.3
FL,Carrollwood CDP,93.9
FL,Caryville town,55
FL,Casselberry city,91.8
FL,Cedar Grove CDP,80.1
FL,Cedar Key city,94.8
FL,Celebration CDP,99.7
FL,Center Hill city,61.2
FL,Century town,76.6
FL,Charleston Park CDP,63.1
FL,Charlotte Harbor CDP,88.9
FL,Charlotte Park CDP,90.2
FL,Chattahoochee city,67.6
FL,Cheval CDP,96.8
FL,Chiefland city,73.9
FL,Chipley city,78.2
FL,Chokoloskee CDP,100
FL,Christmas CDP,82.2
FL,Chuluota CDP,95.2
FL,Chumuckla CDP,78.5
FL,Cinco Bayou town,90.7
FL,Citrus Hills CDP,90.5
FL,Citrus Park CDP,92.1
FL,Citrus Springs CDP,88.5
FL,Clarcona CDP,88.6
FL,Clearwater city,89.3
FL,Clermont city,92.3
FL,Cleveland CDP,85.4
FL,Clewiston city,64.3
FL,Cloud Lake town,78.2
FL,Cobbtown CDP,100
FL,Cocoa city,83.1
FL,Cocoa Beach city,96.3
FL,Cocoa West CDP,72.2
FL,Coconut Creek city,93.3
FL,Coleman city,75.9
FL,Combee Settlement CDP,69.1
FL,Connerton CDP,73.3
FL,Conway CDP,93.7
FL,Cooper City city,94.9
FL,Coral Gables city,95.5
FL,Coral Springs city,92.3
FL,Coral Terrace CDP,78.1
FL,Cortez CDP,93.7
FL,Cottondale town,72.1
FL,Country Club CDP,85.2
FL,Country Walk CDP,93.7
FL,Crawfordville CDP,92.9
FL,Crescent Beach CDP,99.3
FL,Crescent City city,71
FL,Crestview city,92.6
FL,Crooked Lake Park CDP,87.9
FL,Cross City town,74.6
FL,Crystal Lake CDP,79.1
FL,Crystal River city,85
FL,Crystal Springs CDP,66
FL,Cudjoe Key CDP,93.2
FL,Cutler Bay town,88
FL,Cypress Gardens CDP,92.1
FL,Cypress Lake CDP,91.6
FL,Cypress Quarters CDP,81.7
FL,Dade City city,78.8
FL,Dade City North CDP,70.4
FL,Dania Beach city,85.6
FL,Davenport city,88.7
FL,Davie town,90.6
FL,Day CDP,68.8
FL,Daytona Beach city,86.3
FL,Daytona Beach Shores city,95.3
FL,DeBary city,90.6
FL,Deerfield Beach city,85.6
FL,DeFuniak Springs city,82.3
FL,DeLand city,87.4
FL,DeLand Southwest CDP,73.2
FL,De Leon Springs CDP,63.6
FL,Delray Beach city,85.5
FL,Deltona city,88.2
FL,Desoto Lakes CDP,95.7
FL,Destin city,96.4
FL,Dickerson City CDP,100
FL,Dixonville CDP,87.9
FL,Doctor Phillips CDP,94
FL,Doral city,95.1
FL,Dover CDP,45.6
FL,Duck Key CDP,93.6
FL,Dundee town,80.3
FL,Dunedin city,91
FL,Dunnellon city,88.8
FL,Eagle Lake city,82.9
FL,East Bronson CDP,72.4
FL,East Lake CDP,95.8
FL,East Lake-Orient Park CDP,82.5
FL,East Milton CDP,72.3
FL,East Palatka CDP,84.7
FL,Eastpoint CDP,74.4
FL,East Williston CDP,76
FL,Eatonville town,75.2
FL,Ebro town,86.1
FL,Edgewater city,90.1
FL,Edgewood city,95
FL,Eglin AFB CDP,97.1
FL,Egypt Lake-Leto CDP,80.3
FL,Elfers CDP,85.3
FL,Ellenton CDP,93.6
FL,El Portal village,88.4
FL,Englewood CDP,91.4
FL,Ensley CDP,88.9
FL,Estero village,95.3
FL,Esto town,79.3
FL,Eustis city,86.3
FL,Everglades city,96.4
FL,Fairview Shores CDP,84.4
FL,Fanning Springs city,77
FL,Feather Sound CDP,96
FL,Fellsmere city,48.6
FL,Fernandina Beach city,93.3
FL,Ferndale CDP,70.8
FL,Fern Park CDP,91.9
FL,Ferry Pass CDP,93.1
FL,Fidelis CDP,80
FL,Fisher Island CDP,49.4
FL,Fish Hawk CDP,97.3
FL,Five Points CDP,66.5
FL,Flagler Beach city,95.6
FL,Flagler Estates CDP,76.6
FL,Fleming Island CDP,97.7
FL,Floral City CDP,83.9
FL,Florida City city,54.6
FL,Florida Ridge CDP,88.2
FL,Floridatown CDP,95.6
FL,Forest City CDP,91.6
FL,Fort Denaud CDP,77
FL,Fort Green CDP,97.5
FL,Fort Green Springs CDP,95.1
FL,Fort Lauderdale city,85.9
FL,Fort Meade city,79.6
FL,Fort Myers city,80.3
FL,Fort Myers Beach town,93.7
FL,Fort Myers Shores CDP,77.4
FL,Fort Pierce city,76.1
FL,Fort Pierce North CDP,73.9
FL,Fort Pierce South CDP,73.5
FL,Fort Walton Beach city,89.2
FL,Fort White town,87.5
FL,Fountainebleau CDP,80.7
FL,Four Corners CDP,87.3
FL,Franklin Park CDP,84.5
FL,Freeport city,84.7
FL,Frostproof city,82
FL,Fruit Cove CDP,95.9
FL,Fruitland Park city,85
FL,Fruitville CDP,94.1
FL,Fuller Heights CDP,86
FL,Fussels Corner CDP,76.8
FL,Gainesville city,92.1
FL,Garcon Point CDP,100
FL,Garden Grove CDP,88.4
FL,Gardner CDP,90.9
FL,Gateway CDP,97.3
FL,Geneva CDP,95.3
FL,Gibsonton CDP,78.9
FL,Gifford CDP,82.5
FL,Gladeview CDP,71.8
FL,Glencoe CDP,94.6
FL,Glen Ridge town,90.5
FL,Glen St. Mary town,82
FL,Glenvar Heights CDP,91.8
FL,Golden Beach town,92
FL,Golden Gate CDP,67.4
FL,Golden Glades CDP,74
FL,Goldenrod CDP,90.8
FL,Golf village,100
FL,Gonzalez CDP,92.1
FL,Goodland CDP,100
FL,Gotha CDP,96.2
FL,Goulding CDP,69.7
FL,Goulds CDP,75.5
FL,Graceville city,69.3
FL,Grand Ridge town,84.9
FL,Grant-Valkaria town,95.2
FL,Greenacres city,80.5
FL,Greenbriar CDP,92.7
FL,Green Cove Springs city,83.4
FL,Greensboro town,70.3
FL,Greenville town,81.6
FL,Greenwood town,89.3
FL,Grenelefe CDP,95.8
FL,Gretna city,76.2
FL,Grove City CDP,94.8
FL,Groveland city,87.4
FL,Gulf Breeze city,97.1
FL,Gulf Gate Estates CDP,92.7
FL,Gulfport city,89.3
FL,Gulf Stream town,97.8
FL,Gun Club Estates CDP,76.7
FL,Haines City city,74.2
FL,Hallandale Beach city,85.8
FL,Hampton city,63.6
FL,Harbor Bluffs CDP,97.9
FL,Harbour Heights CDP,91.9
FL,Harlem CDP,75.6
FL,Harlem Heights CDP,70.9
FL,Harold CDP,94.9
FL,Hastings town,81.8
FL,Havana town,82.7
FL,Haverhill town,85.7
FL,Hawthorne city,84.6
FL,Heathrow CDP,95.1
FL,Heritage Pines CDP,95.2
FL,Hernando CDP,89.8
FL,Hernando Beach CDP,91.2
FL,Hialeah city,70.7
FL,Hialeah Gardens city,75.9
FL,Highland Beach town,96.5
FL,Highland City CDP,92.3
FL,Highland Park village,100
FL,High Point CDP,83.4
FL,High Springs city,93.9
FL,Hillcrest Heights town,94.3
FL,Hilliard town,80.9
FL,Hill 'n Dale CDP,75.1
FL,Hillsboro Beach town,97.8
FL,Hillsboro Pines CDP,100
FL,Hobe Sound CDP,89
FL,Holden Heights CDP,89.9
FL,Holiday CDP,83.7
FL,Holley CDP,88.1
FL,Holly Hill city,80.6
FL,Hollywood city,86.9
FL,Holmes Beach city,98.6
FL,Homeland CDP,79.5
FL,Homestead city,69.1
FL,Homestead Base CDP,70.9
FL,Homosassa CDP,88.5
FL,Homosassa Springs CDP,80.4
FL,Horizon West CDP,97.4
FL,Horseshoe Beach town,81
FL,Hosford CDP,79.6
FL,Howey-in-the-Hills town,94.4
FL,Hudson CDP,85.3
FL,Hunters Creek CDP,95.4
FL,Hutchinson Island South CDP,95.1
FL,Hypoluxo town,94.2
FL,Immokalee CDP,41.3
FL,Indialantic town,97.3
FL,Indian Creek village,95.5
FL,Indian Harbour Beach city,93.5
FL,Indian River Estates CDP,87.9
FL,Indian River Shores town,97.4
FL,Indian Rocks Beach city,94.7
FL,Indian Shores town,98.4
FL,Indiantown CDP,55.9
FL,Inglis town,84.4
FL,Interlachen town,80.2
FL,Inverness city,81.2
FL,Inverness Highlands North CDP,91.2
FL,Inverness Highlands South CDP,85.9
FL,Inwood CDP,68.1
FL,Iona CDP,93.6
FL,"Islamorada, Village of Islands village",95.6
FL,Island Walk CDP,97.9
FL,Istachatta CDP,39.7
FL,Ives Estates CDP,88
FL,Jacksonville city,88.2
FL,Jacksonville Beach city,96.2
FL,Jacob City city,79.3
FL,Jan Phyl Village CDP,84.1
FL,Jasmine Estates CDP,82.6
FL,Jasper city,66.1
FL,Jay town,84.2
FL,Jennings town,50.4
FL,Jensen Beach CDP,92
FL,June Park CDP,90.4
FL,Juno Beach town,96.6
FL,Juno Ridge CDP,88.5
FL,Jupiter town,92.3
FL,Jupiter Farms CDP,94.4
FL,Jupiter Inlet Colony town,96.6
FL,Jupiter Island town,98.6
FL,Kathleen CDP,80.6
FL,Kendale Lakes CDP,84.2
FL,Kendall CDP,90.2
FL,Kendall West CDP,79.9
FL,Kenneth City town,86
FL,Kensington Park CDP,84.5
FL,Kenwood Estates CDP,60.9
FL,Key Biscayne village,98
FL,Key Colony Beach city,95.4
FL,Key Largo CDP,87.1
FL,Keystone CDP,97
FL,Keystone Heights city,93.2
FL,Key Vista CDP,97.3
FL,Key West city,90.2
FL,Kissimmee city,82.4
FL,LaBelle city,66.7
FL,Lacoochee CDP,61.8
FL,La Crosse town,87.9
FL,Lady Lake town,89
FL,Laguna Beach CDP,87.2
FL,Lake Alfred city,93.3
FL,Lake Belvedere Estates CDP,83.1
FL,Lake Buena Vista city,100
FL,Lake Butler CDP,95.4
FL,Lake Butler city,85.2
FL,Lake City city,87.9
FL,Lake Clarke Shores town,95.9
FL,Lake Hamilton town,87.5
FL,Lake Harbor CDP,-
FL,Lake Hart CDP,100
FL,Lake Helen city,85.4
FL,Lake Kathryn CDP,72.9
FL,Lakeland city,87.4
FL,Lakeland Highlands CDP,94.4
FL,Lake Lindsey CDP,100
FL,Lake Lorraine CDP,93.9
FL,Lake Mack-Forest Hills CDP,74.8
FL,Lake Magdalene CDP,90.5
FL,Lake Mary city,93.3
FL,Lake Mary Jane CDP,97.6
FL,Lake Mystic CDP,96.6
FL,Lake Panasoffkee CDP,80.2
FL,Lake Park town,82.6
FL,Lake Placid town,55.7
FL,Lake Sarasota CDP,92.9
FL,Lakeside CDP,92.2
FL,Lake Wales city,77.8
FL,Lakewood Park CDP,89.9
FL,Lake Worth city,70.6
FL,Lamont CDP,100
FL,Land O' Lakes CDP,92.3
FL,Lantana town,81.2
FL,Largo city,88
FL,Lauderdale-by-the-Sea town,94.4
FL,Lauderdale Lakes city,75.5
FL,Lauderhill city,83.3
FL,Laurel CDP,93.9
FL,Laurel Hill city,81.9
FL,Lawtey city,75.5
FL,Layton city,100
FL,Lazy Lake village,93.9
FL,Lealman CDP,77.5
FL,Lecanto CDP,80.3
FL,Lee town,90
FL,Leesburg city,83.7
FL,Lehigh Acres CDP,77.6
FL,Leisure City CDP,62.1
FL,Lely CDP,94.6
FL,Lely Resort CDP,87
FL,Lemon Grove CDP,85.1
FL,Lighthouse Point city,96.4
FL,Limestone CDP,86.5
FL,Limestone Creek CDP,85.9
FL,Lisbon CDP,63.6
FL,Live Oak city,68.3
FL,Lloyd CDP,85.6
FL,Lochmoor Waterway Estates CDP,90.7
FL,Lockhart CDP,90.3
FL,Longboat Key town,96.2
FL,Longwood city,90.6
FL,Loughman CDP,80
FL,Lower Grand Lagoon CDP,93.3
FL,Loxahatchee Groves town,84.6
FL,Lutz CDP,94.6
FL,Lynn Haven city,91
FL,Macclenny city,86.8
FL,McGregor CDP,95
FL,McIntosh town,97.1
FL,Madeira Beach city,93.4
FL,Madison city,80.6
FL,Maitland city,97.5
FL,Malabar town,94
FL,Malone town,61.3
FL,Manalapan town,97.8
FL,Manasota Key CDP,92.3
FL,Manatee Road CDP,79.2
FL,Mango CDP,79.2
FL,Mangonia Park town,75.9
FL,Marathon city,89
FL,Marco Island city,93.2
FL,Margate city,86.1
FL,Marianna city,80.1
FL,Marineland town,-
FL,Mary Esther city,91.5
FL,Masaryktown CDP,64.7
FL,Mascotte city,69.7
FL,Matlacha CDP,98.9
FL,Matlacha Isles-Matlacha Shores CDP,94.1
FL,Mayo town,68.5
FL,Meadow Oaks CDP,92.5
FL,Meadow Woods CDP,84.8
FL,Medley town,68
FL,Medulla CDP,93.3
FL,Melbourne city,89.2
FL,Melbourne Beach town,97.1
FL,Melbourne Village town,93.1
FL,Memphis CDP,80.8
FL,Merritt Island CDP,92.8
FL,Mexico Beach city,92.4
FL,Miami city,73.2
FL,Miami Beach city,87.2
FL,Miami Gardens city,80.3
FL,Miami Lakes town,90.6
FL,Miami Shores village,94
FL,Miami Springs city,84.9
FL,Micanopy town,87.6
FL,Micco CDP,83.2
FL,Middleburg CDP,83.5
FL,Midway city,90.5
FL,Midway CDP (Santa Rosa County),95.7
FL,Midway CDP (Seminole County),78.6
FL,Milton city,90.8
FL,Mims CDP,87.2
FL,Minneola city,90.5
FL,Miramar city,90.3
FL,Miramar Beach CDP,95.5
FL,Molino CDP,80
FL,Monticello city,80.9
FL,Montura CDP,55
FL,Montverde town,94
FL,Moon Lake CDP,76.5
FL,Moore Haven city,69.5
FL,Morriston CDP,100
FL,Mount Carmel CDP,100
FL,Mount Dora city,87.5
FL,Mount Plymouth CDP,88
FL,Mulat CDP,100
FL,Mulberry city,80.1
FL,Munson CDP,95.7
FL,Myrtle Grove CDP,89.8
FL,Naples city,94.1
FL,Naples Manor CDP,44.6
FL,Naples Park CDP,88.5
FL,Naranja CDP,71.2
FL,Nassau Village-Ratliff CDP,88.8
FL,Navarre CDP,93.8
FL,Navarre Beach CDP,100
FL,Neptune Beach city,98.2
FL,Newberry city,96.8
FL,New Port Richey city,83.9
FL,New Port Richey East CDP,89.5
FL,New Smyrna Beach city,91
FL,Niceville city,94.4
FL,Nobleton CDP,49.2
FL,Nocatee CDP,98.6
FL,Nokomis CDP,89.3
FL,Noma town,70.1
FL,North Bay Village city,91.6
FL,North Brooksville CDP,86.1
FL,Northdale CDP,94.9
FL,North DeLand CDP,91.3
FL,North Fort Myers CDP,87.7
FL,North Key Largo CDP,97.4
FL,North Lauderdale city,79.5
FL,North Miami city,74.4
FL,North Miami Beach city,80.1
FL,North Palm Beach village,94.5
FL,North Port city,90.5
FL,North Redington Beach town,94.7
FL,North River Shores CDP,95.4
FL,North Sarasota CDP,80.4
FL,North Weeki Wachee CDP,89
FL,Oak Hill city,88
FL,Oakland town,92.9
FL,Oakland Park city,82.8
FL,Oakleaf Plantation CDP,91.4
FL,Oak Ridge CDP,73.8
FL,Ocala city,86.1
FL,Ocean Breeze Park town,84.2
FL,Ocean City CDP,86.5
FL,Ocean Ridge town,99.2
FL,Ocoee city,86.4
FL,Odessa CDP,90.6
FL,Ojus CDP,92.8
FL,Okahumpka CDP,54.2
FL,Okeechobee city,70.2
FL,Oldsmar city,93.7
FL,Olga CDP,89.7
FL,Olympia Heights CDP,81.7
FL,Ona CDP,73.9
FL,Opa-locka city,69.3
FL,Orange City city,87.6
FL,Orange Park town,92.6
FL,Orangetree CDP,85.7
FL,Orchid town,99.4
FL,Oriole Beach CDP,98
FL,Orlando city,89.5
FL,Orlovista CDP,81
FL,Ormond Beach city,93.9
FL,Ormond-by-the-Sea CDP,91.9
FL,Osprey CDP,96.3
FL,Otter Creek town,74.5
FL,Oviedo city,95.1
FL,Pace CDP,92
FL,Page Park CDP,95.7
FL,Pahokee city,60.5
FL,Paisley CDP,65.5
FL,Palatka city,77.8
FL,Palm Bay city,87.6
FL,Palm Beach town,97.8
FL,Palm Beach Gardens city,94.9
FL,Palm Beach Shores town,96.3
FL,Palm City CDP,94.8
FL,Palm Coast city,91.2
FL,Palmetto city,83.2
FL,Palmetto Bay village,95
FL,Palmetto Estates CDP,84.8
FL,Palm Harbor CDP,95.5
FL,Palmona Park CDP,76.5
FL,Palm River-Clair Mel CDP,76.4
FL,Palm Shores town,95.3
FL,Palm Springs village,74.7
FL,Palm Springs North CDP,86.8
FL,Palm Valley CDP,97.4
FL,Panacea CDP,88.2
FL,Panama City city,87.2
FL,Panama City Beach city,92.9
FL,Paradise Heights CDP,49.8
FL,Parker city,80.7
FL,Parkland city,96.9
FL,Pasadena Hills CDP,90.3
FL,Patrick AFB CDP,94.6
FL,Paxton town,80.6
FL,Pea Ridge CDP,91.2
FL,Pebble Creek CDP,96.2
FL,Pelican Bay CDP,99.1
FL,Pembroke Park town,74.8
FL,Pembroke Pines city,91.2
FL,Penney Farms town,93.3
FL,Pensacola city,91.7
FL,Perry city,82.8
FL,Pierson town,62.2
FL,Pine Air CDP,74.8
FL,Pine Castle CDP,75.8
FL,Pinecrest village,95
FL,Pine Hills CDP,75.8
FL,Pine Island CDP,-
FL,Pine Island Center CDP,89.1
FL,Pine Lakes CDP,70.9
FL,Pineland CDP,95.4
FL,Pine Level CDP,89.9
FL,Pinellas Park city,86.4
FL,Pine Manor CDP,58
FL,Pine Ridge CDP (Citrus County),90.7
FL,Pine Ridge CDP (Collier County),94
FL,Pinewood CDP,72.3
FL,Pioneer CDP,93.7
FL,Pittman CDP,100
FL,Plantation city,93.3
FL,Plantation CDP,96.3
FL,Plantation Island CDP,84.9
FL,Plantation Mobile Home Park CDP,45.1
FL,Plant City city,81
FL,Poinciana CDP,84.9
FL,Point Baker CDP,85.4
FL,Polk City town,75.5
FL,Pomona Park town,77.9
FL,Pompano Beach city,82.8
FL,Ponce de Leon town,79.8
FL,Ponce Inlet town,98.3
FL,Port Charlotte CDP,87.1
FL,Port LaBelle CDP,66
FL,Port Orange city,89.6
FL,Port Richey city,86.6
FL,Port St. Joe city,92.2
FL,Port St. John CDP,94.3
FL,Port St. Lucie city,87.2
FL,Port Salerno CDP,89.5
FL,Pretty Bayou CDP,89.5
FL,Princeton CDP,77.7
FL,Progress Village CDP,85
FL,Punta Gorda city,95.9
FL,Punta Rassa CDP,98.2
FL,Quail Ridge CDP,91
FL,Quincy city,75.7
FL,Raiford town,87.4
FL,Raleigh CDP,75.2
FL,Reddick town,62.8
FL,Redington Beach town,94.8
FL,Redington Shores town,95.7
FL,Richmond Heights CDP,86.9
FL,Richmond West CDP,86.3
FL,Ridgecrest CDP,83.4
FL,Ridge Manor CDP,88
FL,Ridge Wood Heights CDP,94.2
FL,Rio CDP,96
FL,Rio Pinar CDP,95.4
FL,River Park CDP,77.7
FL,River Ridge CDP,89.5
FL,Riverview CDP,91.9
FL,Riviera Beach city,82.4
FL,Rockledge city,91.5
FL,Roeville CDP,92.2
FL,Roosevelt Gardens CDP,72.5
FL,Roseland CDP,91.8
FL,Rotonda CDP,94.4
FL,Royal Palm Beach village,91
FL,Royal Palm Estates CDP,73.8
FL,Ruskin CDP,79.2
FL,Safety Harbor city,93
FL,St. Augustine city,88.9
FL,St. Augustine Beach city,99.7
FL,St. Augustine Shores CDP,95.4
FL,St. Augustine South CDP,89.2
FL,St. Cloud city,87.3
FL,St. George Island CDP,96.5
FL,St. James City CDP,89.7
FL,St. Leo town,95
FL,St. Lucie Village town,95.7
FL,St. Marks city,88.7
FL,St. Pete Beach city,96.4
FL,St. Petersburg city,89.5
FL,Samoset CDP,56
FL,Samsula-Spruce Creek CDP,90.5
FL,San Antonio city,94.1
FL,San Carlos Park CDP,83.8
FL,San Castle CDP,66.5
FL,Sanford city,89
FL,Sanibel city,98.2
FL,Sarasota city,88.3
FL,Sarasota Springs CDP,90.8
FL,Satellite Beach city,95.1
FL,Sawgrass CDP,99.6
FL,Schall Circle CDP,64
FL,Sea Ranch Lakes village,99.2
FL,Sebastian city,87.3
FL,Sebring city,77
FL,Seffner CDP,89.9
FL,Seminole city,92.7
FL,Seminole Manor CDP,65.6
FL,Seville CDP,72
FL,Sewall's Point town,97.1
FL,Shady Hills CDP,84.6
FL,Shalimar town,98.9
FL,Sharpes CDP,83.2
FL,Siesta Key CDP,98.2
FL,Silver Lake CDP,93.5
FL,Silver Springs Shores CDP,84.7
FL,Sky Lake CDP,78.7
FL,Sneads town,79
FL,Solana CDP,87.9
FL,Sopchoppy city,92.3
FL,Sorrento CDP,27.3
FL,South Apopka CDP,74.1
FL,South Bay city,62.1
FL,South Beach CDP,98.1
FL,South Bradenton CDP,81.8
FL,South Brooksville CDP,82.9
FL,Southchase CDP,86.1
FL,South Daytona city,87.6
FL,Southeast Arcadia CDP,51.9
FL,Southgate CDP,94
FL,South Gate Ridge CDP,90.8
FL,South Highpoint CDP,73.2
FL,South Miami city,91.4
FL,South Miami Heights CDP,74.3
FL,South Palm Beach town,97.3
FL,South Pasadena city,93.3
FL,South Patrick Shores CDP,94
FL,South Sarasota CDP,95.4
FL,South Venice CDP,89.1
FL,Southwest Ranches town,90.3
FL,Springfield city,78.3
FL,Spring Hill CDP,87.5
FL,Springhill CDP,93
FL,Spring Lake CDP,93.4
FL,Spring Ridge CDP,93.2
FL,Stacey Street CDP,37.4
FL,Starke city,78.6
FL,Steinhatchee CDP,78
FL,Stock Island CDP,83.3
FL,Stuart city,91.6
FL,Sugarmill Woods CDP,90.5
FL,Sumatra CDP,86.2
FL,Sun City Center CDP,94.1
FL,Suncoast Estates CDP,81
FL,Sunny Isles Beach city,93.1
FL,Sunrise city,88.1
FL,Sunset CDP,87.8
FL,Surfside town,95.4
FL,Sweetwater city,63.5
FL,Taft CDP,75.7
FL,Tallahassee city,92.5
FL,Tamarac city,90
FL,Tamiami CDP,80.4
FL,Tampa city,86.6
FL,Tangelo Park CDP,83.9
FL,Tangerine CDP,77.6
FL,Tarpon Springs city,88.8
FL,Tavares city,88.4
FL,Tavernier CDP,90
FL,Taylor Creek CDP,72.7
FL,Temple Terrace city,93.4
FL,Tequesta village,96.8
FL,The Acreage CDP,86.3
FL,The Crossings CDP,93.2
FL,The Hammocks CDP,89.6
FL,The Meadows CDP,97.5
FL,The Villages CDP,95.4
FL,Thonotosassa CDP,83.6
FL,Three Lakes CDP,91.9
FL,Three Oaks CDP,95.8
FL,Tice CDP,50.8
FL,Tierra Verde CDP,97.2
FL,Tiger Point CDP,97.8
FL,Tildenville CDP,100
FL,Timber Pines CDP,95.6
FL,Titusville city,90.2
FL,Town 'n' Country CDP,86.7
FL,Treasure Island city,95.6
FL,Trenton city,78.7
FL,Trilby CDP,73.3
FL,Trinity CDP,96.8
FL,Tyndall AFB CDP,98.7
FL,Umatilla city,83.8
FL,Union Park CDP,84.6
FL,University CDP (Hillsborough County),76.6
FL,University CDP (Orange County),90.1
FL,University Park CDP,82.1
FL,Upper Grand Lagoon CDP,95.4
FL,Valparaiso city,94.2
FL,Valrico CDP,92
FL,Vamo CDP,86.9
FL,Venice city,95.4
FL,Venice Gardens CDP,94.8
FL,Vernon city,73.3
FL,Vero Beach city,89.2
FL,Vero Beach South CDP,87.7
FL,Verona Walk CDP,89
FL,Viera East CDP,94
FL,Viera West CDP,98.1
FL,Villano Beach CDP,91.2
FL,Villas CDP,89
FL,Vineyards CDP,96.9
FL,Virginia Gardens village,84.6
FL,Wabasso CDP,92.7
FL,Wabasso Beach CDP,98
FL,Wacissa CDP,59.1
FL,Wahneta CDP,51
FL,Waldo city,80.8
FL,Wallace CDP,94.5
FL,Warm Mineral Springs CDP,92
FL,Warrington CDP,87.5
FL,Washington Park CDP,76.3
FL,Watergate CDP,82
FL,Watertown CDP,85.2
FL,Wauchula city,76.7
FL,Waukeenah CDP,89.6
FL,Wausau town,85.6
FL,Waverly CDP,68.8
FL,Webster city,65.4
FL,Wedgefield CDP,95.5
FL,Weeki Wachee city,100
FL,Weeki Wachee Gardens CDP,91.2
FL,Wekiwa Springs CDP,95.9
FL,Welaka town,80
FL,Wellington village,94.7
FL,Wesley Chapel CDP,93.7
FL,West Bradenton CDP,90.9
FL,Westchase CDP,97.4
FL,Westchester CDP,79.6
FL,West DeLand CDP,89.5
FL,Westgate CDP,59.3
FL,West Lealman CDP,84.5
FL,West Little River CDP,73.2
FL,West Melbourne city,93.9
FL,West Miami city,80.3
FL,Weston city,97.2
FL,West Palm Beach city,84.4
FL,West Park city,77.7
FL,West Pensacola CDP,84
FL,West Perrine CDP,79.9
FL,West Samoset CDP,58.2
FL,West Vero Corridor CDP,91.3
FL,Westview CDP,78.1
FL,Westville town,76.9
FL,Westwood Lakes CDP,79.8
FL,Wewahitchka city,75.6
FL,Whiskey Creek CDP,95.9
FL,White City CDP,89.3
FL,White Springs town,81.8
FL,Whitfield CDP (Manatee County),95.5
FL,Whitfield CDP (Santa Rosa County),79.1
FL,Wildwood city,89.6
FL,Williamsburg CDP,90.6
FL,Williston city,81.5
