Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
IL,St. Peter village,99.4,0.6,0,0,0.3
IL,Salem city,95.9,1.1,0.2,1.1,1.3
IL,Sammons Point village,96.1,1.1,0,0.7,2.2
IL,Sandoval village,97.5,0.8,0.1,0.3,1.5
IL,Sandwich city,90.9,0.5,0.2,0.8,12.6
IL,San Jose village,98,0.2,0.3,0.2,2.2
IL,Sauget village,93.1,5.7,0,0,0
IL,Sauk Village village,28,62.7,0.2,0.3,11.1
IL,Saunemin village,97.4,0.2,0.5,0.2,2.9
IL,Savanna city,94.2,1.9,0.5,0.1,6.5
IL,Savoy village,77.4,6.8,0.1,12.6,2.7
IL,Sawyerville village,95.3,0.4,0.7,0.4,1.1
IL,Saybrook village,98.3,0.4,0.3,0,1.2
IL,Scales Mound village,98.1,0,0,0.3,1.1
IL,Schaumburg village,70.4,4.2,0.2,19.8,8.8
IL,Schiller Park village,80.7,1.9,0.5,5.9,24.1
IL,Schram City village,97.3,1.4,0.2,0.9,0
IL,Sciota village,100,0,0,0,0
IL,Scott AFB CDP,74.3,15.3,0.2,2.4,8.9
IL,Scottville village,100,0,0,0,0.9
IL,Seaton village,98.2,0.5,0,0,1.8
IL,Seatonville village,97.5,0.6,0.3,0.6,5.1
IL,Secor village,98.1,0,0.5,0,1.6
IL,Seneca village,95.5,0.5,0.3,0.4,4
IL,Sesser city,96.6,0.2,0.3,0.4,1.4
IL,Seymour CDP,94.7,2.3,0.7,0.3,1.7
IL,Shabbona village,97.8,0.2,0.6,0.1,1.6
IL,Shannon village,98.3,0.1,0.4,0.1,1.6
IL,Shawneetown city,96.4,0.2,0.2,0.1,2.5
IL,Sheffield village,98.4,0.3,0.1,0.1,2.4
IL,Shelbyville city,98.3,0.3,0.3,0.3,1.3
IL,Sheldon village,97.1,0.7,0.7,0.2,2.2
IL,Sheridan village,53.7,42.7,0.2,0.1,7.6
IL,Sherman village,97.1,0.5,0.1,1,0.8
IL,Sherrard village,98.6,0,0.5,0.5,2.8
IL,Shiloh village,70.9,21.8,0.2,3,3.2
IL,Shipman town,97.9,0,0,0.3,2.4
IL,Shorewood village,87.7,5.3,0.2,1.7,10.8
IL,Shumway village,94.1,0,0,0,3.5
IL,Sibley village,98.5,0,0.7,0,1.5
IL,Sidell village,97.9,0.2,0.3,0,0.6
IL,Sidney village,98,0.9,0.3,0.1,1.1
IL,Sigel town,97.6,1.3,0.5,0.3,0.8
IL,Silvis city,84.9,5,0.4,1.2,16
IL,Simpson village,98.3,0,0,0,0
IL,Sims village,98.8,0.4,0,0,0.4
IL,Skokie village,60.3,7.3,0.2,25.5,8.8
IL,Sleepy Hollow village,93.2,1.7,0.1,1.8,6.3
IL,Smithboro village,96.6,1.1,0,0.6,0.6
IL,Smithfield village,98.3,0,0.4,0,2.6
IL,Smithton village,97.4,1,0.2,0.6,1.6
IL,Somonauk village,96.3,0.2,0.2,0.3,4.1
IL,Sorento village,98.8,0,0,0.4,0
IL,South Barrington village,69.6,0.7,0.2,26.6,2.6
IL,South Beloit city,87.4,4,0.4,1.6,7.7
IL,South Chicago Heights village,63.3,16.8,0.6,1.1,34.8
IL,South Elgin village,81.3,3.4,0.4,7,15.5
IL,Southern View village,94.2,2.5,0.4,1,1.6
IL,South Holland village,20.5,74.2,0.2,0.6,5.8
IL,South Jacksonville village,96.1,1.6,0.1,0.5,0.9
IL,South Pekin village,98.2,0.3,0.2,0.1,1.3
IL,South Roxana village,95.9,0.7,0.2,0.2,3.7
IL,South Wilmington village,99,0.4,0.3,0,2.6
IL,Sparland village,99.3,0,0,0,1.5
IL,Sparta city,80,17.5,0.3,0.5,1.5
IL,Spaulding village,97.9,0.5,0,0.6,1.3
IL,Spillertown village,95.1,1,0,0,3.4
IL,Spring Bay village,96.9,0.2,0.2,0.2,1.5
IL,Springerton village,97.3,0,1.8,0,0
IL,Springfield city,75.8,18.5,0.2,2.2,2
IL,Spring Grove village,97,0.6,0.2,0.8,3.2
IL,Spring Valley city,90.4,1.4,0.3,0.6,13.9
IL,Standard village,97.7,1.4,0,0.5,0.9
IL,Standard City village,93.4,2,0.7,1.3,0
IL,Stanford village,97.7,0.8,0.3,0.2,2
IL,Staunton city,97.6,0.3,0.3,0.5,0.7
IL,Steeleville village,98.7,0.1,0.1,0.1,1.3
IL,Steger village,71.6,19.5,0.3,1,14.2
IL,Sterling city,82.5,3,0.4,0.7,24.2
IL,Steward village,93,0.8,0.4,0,6.3
IL,Stewardson village,98.1,0,0.3,0.8,0.7
IL,Stickney village,67.8,2.5,0.5,1.5,50.9
IL,Stillman Valley village,96.4,0.2,0,0.4,3.7
IL,Stockton village,98.5,0.2,0.1,0.4,1.9
IL,Stonefort village,98,1.3,0,0,2
IL,Stone Park village,45.6,2,1.2,2.1,88.1
IL,Stonington village,98.2,0.4,0,0.6,1
IL,Stoy village,100,0,0,0,0
IL,Strasburg village,98.5,0.2,0,0,0.9
IL,Strawn village,98,0,0,1,0
IL,Streamwood village,66,4.5,0.9,15,28.2
IL,Streator city,91.2,2.5,0.3,0.4,10.4
IL,Stronghurst village,98.4,0.3,0.3,0,0.1
IL,Sublette village,98,0,0.2,0,4.9
IL,Sugar Grove village,93.2,1.6,0.2,1.7,7.8
IL,Sullivan city,98.4,0.4,0.2,0.2,1
IL,Summerfield village,93.1,3.1,0.4,0.7,0.9
IL,Summit village,57.8,9.4,0.8,1.9,63.7
IL,Sumner city,44.8,47,0.3,0.3,12.7
IL,Sun River Terrace village,8.3,86.6,0.2,0,4.9
IL,Swansea village,78.5,16.6,0.2,1.8,2.3
IL,Sycamore city,91.4,2.9,0.2,1.5,7
IL,Symerton village,100,0,0,0,1.1
IL,Table Grove village,98.3,0,0,0.2,0
IL,Tallula village,98.4,1,0.2,0,0
IL,Tamaroa village,98.1,0.5,0.2,0.2,1.1
IL,Tamms village,73.1,23.6,1.1,0.2,0.6
IL,Tampico village,97.7,0,0,0.4,3.8
IL,Taylor Springs village,98.1,0.1,0.3,0,1.2
IL,Taylorville city,96.7,0.8,0.2,0.6,1.7
IL,Tennessee village,97.4,0,0,0,0.9
IL,Teutopolis village,99.4,0.1,0,0.4,0.5
IL,Thawville village,94.6,0.4,1.2,0.4,9.1
IL,Thayer village,98.8,0.4,0,0,0.9
IL,Thebes village,75.7,19.3,0,0,3.7
IL,The Galena Territory CDP,98.2,0.3,0.2,0.6,1.6
IL,Third Lake village,95,0.3,0.3,1.4,5.8
IL,Thomasboro village,93.3,2.7,0.4,0.4,1.9
IL,Thompsonville village,99.1,0,0,0,1.8
IL,Thomson village,93.4,3.2,1.2,0.3,2.9
IL,Thornton village,83,9.6,0.6,0.7,8.8
IL,Tilden village,98.6,0,0.5,0,0.4
IL,Tilton village,98,0.2,0.1,0.1,2.1
IL,Timberlane village,94.9,0.3,0,1.5,6.3
IL,Time village,100,0,0,0,0
IL,Tinley Park village,88.8,3.7,0.1,3.9,6.9
IL,Tiskilwa village,96.9,0.2,1.2,0.4,1.1
IL,Toledo village,98.7,0.2,0.2,0.2,0.9
IL,Tolono village,96.1,0.8,0.4,0.7,1.3
IL,Toluca city,92.4,0.6,0.4,0.1,7.7
IL,Tonica village,97.9,0.1,0,0.1,4.3
IL,Topeka village,98.7,0,1.3,0,1.3
IL,Toulon city,98.8,0.5,0.1,0.4,0.4
IL,Tovey village,98.8,0.4,0.2,0.2,0.4
IL,Towanda village,98.5,0,0,0.4,0.6
IL,Tower Hill village,97.9,0.8,0.2,0.2,0.3
IL,Tower Lakes village,94.9,0.6,0,1.7,3.4
IL,Tremont village,97.4,0.7,0.1,0.4,1.7
IL,Trenton city,97.3,0.5,0.1,0.7,1.7
IL,Trout Valley village,98,0.7,0.2,0.9,2.8
IL,Troy city,93.9,2,0.3,1,2.6
IL,Troy Grove village,95.6,0,0,0,4.8
IL,Tuscola city,96.7,0.4,0.1,0.6,2.3
IL,Twin Grove CDP,96.7,1.5,0.1,0.8,2.3
IL,Ullin village,67.8,27.4,0.9,0.4,0.9
IL,Union village,97.1,0.7,0.2,1,4
IL,Union Hill village,91.4,8.6,0,0,0
IL,University Park village,6.1,89.8,0.1,0.8,2.5
IL,Urbana city,60.4,16.3,0.3,17.8,5.2
IL,Ursa village,98.6,0.2,0.3,0.3,0.6
IL,Valier village,98.2,0.7,0.6,0,1
IL,Valley City village,100,0,0,0,0
IL,Valmeyer village,98,0.2,0.1,0.2,1.4
IL,Vandalia city,83.5,13.5,0.2,0.3,2.9
IL,Varna village,96.1,0.5,0.5,1.6,1.8
IL,Venedy village,96.4,0,0,2.2,0.7
IL,Venetian Village CDP,94.8,0.7,0.1,1.2,6
IL,Venice city,3.3,94.1,0.2,0.2,1.7
IL,Vergennes village,96.3,0.7,0.3,0.3,1.7
IL,Vermilion village,99.6,0,0,0,1.8
IL,Vermont village,98.7,0.1,0.1,0.3,1.3
IL,Vernon village,100,0,0,0,1.6
IL,Vernon Hills village,71.4,2.2,0.2,19.3,11.4
IL,Verona village,90.7,0,1.9,0,9.3
IL,Versailles village,98.5,0.4,0.4,0,1.5
IL,Victoria village,99.1,0.3,0,0,0.9
IL,Vienna city,95.2,1.1,0.1,0.3,3.8
IL,Villa Grove city,96.2,0.2,0.3,0.3,2.4
IL,Villa Park village,81,4.3,0.3,5.2,17.8
IL,Viola village,98.2,0,0,0.1,3.8
IL,Virden city,98.5,0.1,0.1,0.6,0.8
IL,Virgil village,94.5,1.8,0.6,1.5,3
IL,Virginia city,97.9,0.6,0.2,0.2,2.2
IL,Volo village,82.1,2,0.2,8.2,12.2
IL,Wadsworth village,87.6,4.1,0.4,2.3,8.8
IL,Waggoner village,99.2,0.8,0,0,0.4
IL,Walnut village,97.9,0,0.2,0.6,2.1
IL,Walnut Hill village,92.6,0,0,0,4.6
IL,Walshville village,90.6,9.4,0,0,0
IL,Waltonville village,98.6,0.5,0.5,0,0.7
IL,Wamac city,90.8,2.8,0.7,0.1,4.9
IL,Wapella village,98.6,0.7,0,0,1.8
IL,Warren village,98.2,0.6,0.1,0.1,1.4
IL,Warrensburg village,97.4,0.7,0,0.3,0.6
IL,Warrenville city,82.2,3.9,0.6,3.7,20.9
IL,Warsaw city,97.7,0.1,0.2,0.4,0.9
IL,Washburn village,97.7,0.4,0,0,2.6
IL,Washington city,96.6,0.5,0.1,1,1.6
IL,Washington Park village,11.2,86.1,0.2,0.1,2.7
IL,Wataga village,96.6,0.8,0.1,0.1,2.4
IL,Waterloo city,97.9,0.1,0.4,0.3,1.5
IL,Waterman village,94.5,1.5,0.5,0.8,6.1
IL,Watseka city,95.1,0.8,0.2,0.7,3.6
IL,Watson village,98.5,0.3,0,0.1,0.8
IL,Wauconda village,85,0.9,0.1,4.2,17.8
IL,Waukegan city,46.6,19.2,1.2,4.3,53.4
IL,Waverly city,98.5,0.3,0.3,0,0.2
IL,Wayne village,93.9,0.9,0.1,3.4,3.7
IL,Wayne City village,98.9,0.2,0,0,0.6
IL,Waynesville village,99.8,0,0,0,0
IL,Weldon village,97.9,0,0,0,1.9
IL,Wellington village,100,0,0,0,3.7
IL,Wenona city,96.7,0.5,0.5,0.4,4
IL,Wenonah village,100,0,0,0,0
IL,West Brooklyn village,100,0,0,0,0
IL,Westchester village,74.4,14.3,0.3,4,14.9
IL,West Chicago city,67.6,2.5,0.6,5.9,51.1
IL,West City village,94.1,0.2,0.3,1.8,3.9
IL,West Dundee village,86.3,1.9,0.2,7.1,10.2
IL,Western Springs village,96.8,0.4,0.1,1.4,2.8
IL,Westervelt CDP,100,0,0,0,0
IL,Westfield village,97.5,1.3,0.7,0,0.3
IL,West Frankfort city,97.2,0.4,0.3,0.6,1.7
IL,Westmont village,72.7,8.7,0.3,12.5,11.2
IL,West Peoria city,79.5,14.4,0.5,1.1,3
IL,West Point village,100,0,0,0,0
IL,West Salem village,98.3,0.8,0,0.3,0.2
IL,West Union CDP,99.3,0,0,0,0
IL,Westville village,97.3,0.8,0.2,0.5,0.9
IL,West York CDP,98.4,0,0,0,0
IL,Wheaton city,87.3,4.5,0.2,5.1,4.9
IL,Wheeler village,99.3,0,0,0,0.7
IL,Wheeling village,67,2.4,0.8,12.9,31.2
IL,Whiteash village,96.3,0,0,2.5,1.7
IL,White City village,99.6,0,0,0.4,0.4
IL,White Hall city,98.8,0,0.3,0.1,0.5
IL,White Heath CDP,98.3,0.7,0,0.3,1.4
IL,Williamsfield village,98.3,0.3,0.2,0.3,0.5
IL,Williamson village,97.8,0.4,0,0.9,0
IL,Williamsville village,98.6,0.2,0.2,0.2,0.7
IL,Willisville village,98.1,0.5,0,0.2,0.5
IL,Willowbrook village,78.7,4.7,0.1,13.5,5.7
IL,Willowbrook CDP,54.9,39.7,0.5,0.6,5.6
IL,Willow Hill village,96.5,0.9,1.7,0.9,0
IL,Willow Springs village,91.9,1,0,2.6,8.5
IL,Wilmette village,85.5,0.8,0.1,10.8,3.3
IL,Wilmington village,100,0,0,0,0
IL,Wilmington city,96.1,0.8,0.3,0.3,4.2
IL,Wilsonville village,98.3,0.2,0.2,0.3,0.9
IL,Winchester city,98.7,0.1,0.3,0.1,0.7
IL,Windsor village,97.7,0,0,1.5,2
IL,Windsor city,98.1,0.3,0,0.4,0.8
IL,Winfield village,91.6,1.5,0.1,3.4,5.4
IL,Winnebago village,96.7,1,0.2,0.4,1.8
IL,Winnetka village,94.8,0.3,0.1,3.3,2.2
IL,Winslow village,96.4,0,0.9,0.3,3.8
IL,Winthrop Harbor village,90.9,1.4,0.4,2.3,7.6
IL,Witt city,98.2,0.7,0.1,0.1,1.2
IL,Wonder Lake village,94.8,0.3,0.4,1,6.8
IL,Wood Dale city,83.4,1.2,0.2,5.2,20.3
IL,Woodhull village,97.9,0.9,0.1,0,2.3
IL,Woodland village,97.2,0,0.3,0,1.5
IL,Woodlawn village,98.3,0.3,0,0.1,0.9
IL,Woodridge village,71.1,8.9,0.3,12.5,13.4
IL,Wood River city,96.3,1.5,0.2,0.5,1.9
IL,Woodson village,98.4,0,0,0.4,1
IL,Woodstock city,83.5,2.3,0.4,2.3,23.6
IL,Worden village,97.7,0.4,0.1,0,2.4
IL,Worth village,90,2.6,0.2,1.9,11.4
IL,Wyanet village,98.1,0.1,0,0.4,2.9
IL,Wyoming city,97.2,0.8,0.1,0.6,1
IL,Xenia village,98,0,0,0,2.6
IL,Yale village,95.3,0,3.5,0,3.5
IL,Yates City village,98,0.1,0,0.1,0.3
IL,Yorkville city,90.8,3.3,0.2,1.5,10.6
IL,Zeigler city,97.6,0.3,0.5,0.1,1.1
IL,Zion city,48.9,31,0.4,2.3,27.7
IN,Aberdeen CDP,91.1,3.3,0,2.6,5.4
IN,Advance town,97.1,0.4,0.2,0.6,0.8
IN,Akron town,74.2,0,1.9,0,30.1
IN,Alamo town,89.4,0,3,0,6.1
IN,Albany town,97.2,0.6,0,0.2,1.1
IN,Albion town,97.4,0.4,0.2,0.4,3.2
IN,Alexandria city,97.4,0.3,0.1,0.2,1.7
IN,Alfordsville town,99,0,0,0,0
IN,Alton town,96.4,0,0,0,3.6
IN,Altona town,98.5,0,0.5,0,1
IN,Ambia town,77,0,0,0,43.5
IN,Amboy town,96.6,0.5,0,1,0.8
IN,Americus CDP,99.1,0.2,0.2,0.2,0.9
IN,Amo town,98.8,0,1,0,0.2
IN,Anderson city,78.8,15.2,0.3,0.5,4.8
IN,Andrews town,96.3,0.3,1,0.3,1.9
IN,Angola city,93.6,1.4,0.3,0.8,6.3
IN,Arcadia town,97.7,0.4,0.2,0.2,0.8
IN,Argos town,94.9,0.3,0.5,0.2,4.6
IN,Arlington CDP,97.7,0.5,0.2,0.7,0.5
IN,Ashley town,95.6,0.2,0.5,0.3,3.4
IN,Atlanta town,97.8,0.6,0,0,1.9
IN,Attica city,97.8,0.1,0.2,0.3,2.4
IN,Auburn city,96.9,0.4,0.2,0.7,2.6
IN,Aurora city,97.5,0.5,0.3,0.3,1.5
IN,Austin city,97.1,0.3,0.3,0.2,2.1
IN,Avilla town,98.3,0.7,0,0.2,1.5
IN,Avoca CDP,96.7,0,0.5,0.7,1.2
IN,Avon town,86.7,5.9,0.3,3.3,4.3
IN,Bainbridge town,98.1,0,0.1,0.4,0.1
IN,Bargersville town,95.6,1.1,0.3,1,2.1
IN,Bass Lake CDP,97.2,0.3,0.5,0.2,3.3
IN,Batesville city,95.1,0.3,0.2,1.7,3.3
IN,Battle Ground town,98.2,0.2,0.1,0.2,2.1
IN,Bedford city,96.2,0.8,0.3,0.9,1.8
IN,Beech Grove city,91.5,3.2,0.3,0.7,4.2
IN,Berne city,96.5,0.5,0.1,0.6,4
IN,Bethany town,95.1,0,1.2,0,1.2
IN,Beverly Shores town,96.6,1.3,0,0.3,2.8
IN,Bicknell city,97.6,0.5,0.2,0.2,1.9
IN,Birdseye town,98.8,0.5,0,0,0.5
IN,Blanford CDP,100,0,0,0,0
IN,Bloomfield town,98,0.5,0,0.6,1.3
IN,Bloomingdale town,97.6,0.3,0,0,0.3
IN,Bloomington city,83,4.6,0.3,8,3.5
IN,Blountsville town,97,0,0,0,0
IN,Bluffton city,96,0.7,0.4,0.5,3.3
IN,Boonville city,97.7,0.5,0.2,0.1,1.2
IN,Borden town,98.9,0,0,0,1.1
IN,Boston town,97.8,0,0.7,1.4,0
IN,Boswell town,87.9,0.6,0.3,0.1,15
IN,Bourbon town,96.7,0.3,0.1,0.6,5
IN,Brazil city,97.1,0.6,0.1,0.5,1.6
IN,Bremen town,86.5,0.4,0.2,0.3,18
IN,Bright CDP,98.3,0.3,0.1,0.3,0.7
IN,Bristol town,87.9,2.1,0.7,1.5,10.2
IN,Brook town,92.1,0.1,0.7,0.2,10
IN,Brooklyn town,97.8,0.2,0.4,0.2,1.8
IN,Brooksburg town,98.8,1.2,0,0,0
IN,Brookston town,98,0,0.1,0.2,2.6
IN,Brookville town,97.5,0.3,0.3,0.2,1.6
IN,Brownsburg town,93.4,2.2,0.1,1.6,3
IN,Brownstown town,98.3,0.1,0.3,0.2,1
IN,Bruceville town,95.6,0.2,0.4,1,2.1
IN,Bryant town,97.2,0.4,0.8,0.8,2.4
IN,Buck Creek CDP,100,0,0,0,0
IN,Buffalo CDP,96.4,0,0.3,0,4.9
IN,Bunker Hill town,93.7,1.6,0.8,0.8,2
IN,Burket town,96.9,0,2.6,0,3.6
IN,Burlington town,98.8,0.5,0,0.2,2
IN,Burnettsville town,98.3,0.3,0,0.3,0
IN,Burns City CDP,99.1,0,0,0.9,0.9
IN,Burns Harbor town,95.4,1.8,0.3,0.3,5.8
IN,Butler city,94.9,0.5,0.4,0.2,4.3
IN,Butlerville CDP,98.2,0,0.4,0.7,1.1
IN,Cadiz town,100,0,0,0,2.7
IN,Cambridge City town,98.5,0.2,0.5,0.3,0.9
IN,Camden town,98.2,0.3,0.2,0,0
IN,Campbellsburg town,98.5,0.2,0,0.3,1
IN,Canaan CDP,94.4,0,0,0,1.1
IN,Cannelburg town,99.3,0,0,0,0.7
IN,Cannelton city,97.4,0.1,0.6,0.1,0.8
IN,Carbon town,96.7,0,0,0,3
IN,Carlisle town,97.1,0,0.6,0,2.7
IN,Carmel city,85.4,3,0.2,8.9,2.5
IN,Carthage town,98.6,0,0.2,0.2,0.3
IN,Cayuga town,97.8,0.2,0.5,0.1,0.5
IN,Cedar Grove town,98.7,0,0,0,0
IN,Cedar Lake town,94.9,0.5,0.3,0.4,6.5
IN,Center Point town,98.3,0.4,0,1.2,0
IN,Centerville town,96.1,0.6,0.1,0.6,2.5
IN,Chalmers town,97,0,0,0.2,2.2
IN,Chandler town,97.9,0.3,0.1,0.1,1.3
IN,Charlestown city,89.9,2.1,0.3,0.3,8.3
IN,Chesterfield town,97.4,0.4,0.2,0.7,1.1
IN,Chesterton town,92.7,1.4,0.3,2.1,6.9
IN,Chrisney town,98.3,0,0,0.4,0.6
IN,Churubusco town,97.8,0.1,0.3,0.2,2.1
IN,Cicero town,96.8,0.6,0.6,0.5,1.5
IN,Clarksburg CDP,99.3,0,0,0,0
IN,Clarks Hill town,97.9,0.2,0.3,0,1.1
IN,Clarksville town,85.1,5.6,0.3,0.7,9.5
IN,Clay City town,99.2,0,0,0.1,0.7
IN,Claypool town,95.1,0.2,0.7,0.9,5.1
IN,Clayton town,98.7,0.3,0.1,0,0.9
IN,Clear Lake town,98.8,0,0,0.9,0.6
IN,Clermont town,92.1,4.2,0.2,0.7,2.5
IN,Clifford town,99.1,0,0.4,0,1.7
IN,Clinton city,97.5,0.2,0.3,0.2,1
IN,Cloverdale town,97.4,0.6,0.3,0.3,0.9
IN,Coalmont CDP,95.8,0.2,1.7,0,0.5
IN,Coatesville town,96.7,0,0,0.2,1.3
IN,Colburn CDP,97.9,0.5,0.5,0,0
IN,Colfax town,96.1,0.4,0,0.7,3.2
IN,Collegeville CDP,83,11.8,0.3,0.6,4.5
IN,Columbia City city,96.7,0.5,0.3,0.5,2.2
IN,Columbus city,86.9,2.7,0.2,5.6,5.8
IN,Connersville city,95.7,2.1,0.2,0.3,1
IN,Converse town,97.5,0.1,0.2,0.1,4.2
IN,Cordry Sweetwater Lakes CDP,98.5,0.3,0.3,0.2,0.5
IN,Corunna town,94.9,0.4,0.4,0.4,4.3
IN,Corydon town,96.7,0.7,0.2,0.2,2.6
IN,Country Club Heights town,100,0,0,0,0
IN,Country Squire Lakes CDP,93,1.2,0.1,0.2,5.4
IN,Covington city,97.6,0.2,0.5,0.3,1.1
IN,Crandall town,98,0,1.3,0.7,2.6
IN,Crane town,96.7,0,0,3.3,0
IN,Crawfordsville city,92.1,1.7,0.4,0.9,8.2
IN,Cromwell town,92.6,0,0.2,0,12.9
IN,Crothersville town,96.2,0.2,0.3,0.4,2.1
IN,Crown Point city,88.2,6.3,0.2,1.8,8.1
IN,Crows Nest town,97.3,2.7,0,0,1.4
IN,Culver town,95.8,1.2,0,0.4,2.4
IN,Cumberland town,77,16.8,0.6,0.9,5.3
IN,Cynthiana town,96.5,0.2,0.2,0.2,0.6
IN,Dale town,84.6,0.4,0.1,0.6,18.1
IN,Daleville town,97.6,0.4,0.1,0.7,0.5
IN,Dana town,97.5,0.2,0.5,0.2,1.3
IN,Danville town,96.8,0.8,0.2,0.4,1.8
IN,Darlington town,98.9,0.1,0.1,0.1,0.2
IN,Darmstadt town,97.5,0.6,0,0.8,0.6
IN,Dayton town,95.4,0.9,0.6,0.2,3.6
IN,Decatur city,94.7,0.5,0.4,0.4,8.4
IN,Decker town,97.6,1.2,0,0.8,0
IN,Delphi city,91.7,0.4,0.2,0.2,11.3
IN,De Motte town,96.2,0.4,0.3,0.4,4.7
IN,Denver town,98.8,0.2,0.6,0,1.2
IN,Deputy CDP,96.5,0,1.2,0,0
IN,Dillsboro town,98.6,0.2,0.2,0,0.2
IN,Dover Hill CDP,97.4,0,0,0,0
IN,Dresser CDP,100,0,0,0,3.8
IN,Dublin town,98,0.3,0,0.5,0.9
IN,Dubois CDP,98.2,0.2,0.2,0,2.5
IN,Dugger town,99.7,0,0,0,0.4
IN,Dune Acres town,95.1,1.1,0,2.2,1.6
IN,Dunkirk city,98.6,0.3,0.1,0,1.2
IN,Dunlap CDP,86.3,4,0.2,1.3,10.6
IN,Dunreith town,88.1,0.6,0.6,2.8,4.5
IN,Dupont town,95.9,2.1,0,0,2.7
IN,Dyer town,90.1,2.5,0.2,2.9,9.3
IN,Earl Park town,98.3,0,0,0,2.6
IN,East Chicago city,35.5,42.9,0.6,0.1,50.9
IN,East Enterprise CDP,97.3,0.7,0.7,0,0
IN,East Germantown town,97.8,0.2,0.2,0.2,0.7
IN,Eaton town,97.8,0.1,0.3,0.1,1.8
IN,Economy town,98.4,0,0,0,2.1
IN,Edgewood town,92.9,4.5,0.2,0.3,1.8
IN,Edinburgh town,95.2,0.3,0.2,0.1,5.5
IN,Edwardsport town,98.3,0,0,0,1.7
IN,Elberfeld town,97.3,0.2,1,0,1.3
IN,Elizabeth town,96.3,1.2,0.6,0,1.2
IN,Elizabethtown town,91.1,1,0,0,9.5
IN,Elkhart city,66.1,15.4,0.6,0.9,22.5
IN,Ellettsville town,95.5,1,0.2,0.6,1.6
IN,Elnora town,96.9,0.5,0.3,0.6,1.7
IN,Elwood city,96.7,0.2,0.2,0.3,3.3
IN,Emison CDP,98.1,0.6,0,0,0
IN,English town,97.5,0.3,0.6,0.2,0.8
IN,Etna Green town,97.8,0.5,0.3,0.3,2.4
IN,Evansville city,82,12.6,0.3,1,2.6
IN,Fairland town,98.1,0,0,0,3.5
IN,Fairmount town,98.6,0.1,0.2,0.2,0.9
IN,Fairview Park town,98.2,0.1,0.1,0.2,0.8
IN,Farmersburg town,97.9,0.6,0.4,0.3,1.3
IN,Farmland town,97.3,0.2,1.4,0.1,1.1
IN,Ferdinand town,98.2,0.1,0,0.2,1.6
IN,Fillmore town,97,0.6,0.2,0.6,5.3
IN,Fishers town,85.6,5.6,0.2,5.5,3.4
IN,Fish Lake CDP,97.6,0.5,0.2,0.1,2.4
IN,Flora town,97.5,0.3,0,0,2.6
IN,Florence CDP,100,0,0,0,0
IN,Fontanet CDP,97.9,1.4,0.2,0,1.2
IN,Fort Branch town,96.8,0.3,0.1,1.2,0.9
IN,Fortville town,96.2,1.3,0.3,0.1,2.3
IN,Fort Wayne city,73.6,15.4,0.4,3.3,8
IN,Fountain City town,97.2,0.9,0,0.1,0.1
IN,Fowler town,96.7,0.6,0.1,0.1,3.9
IN,Fowlerton town,98.9,0,0,0,0.4
IN,Francesville town,97,0.2,0.7,0.1,3.6
IN,Francisco town,97,0.2,0.2,0.2,0.9
IN,Frankfort city,83.9,0.6,0.3,0.2,25
IN,Franklin city,94.9,1.4,0.3,0.8,2.5
IN,Frankton town,97.5,0.4,0.1,0.1,2.2
IN,Fredericksburg town,92.9,0,2.4,0,5.9
IN,Freelandville CDP,99.8,0.2,0,0,0
IN,Freetown CDP,97.9,0,0.3,0,0
IN,Fremont town,98.6,0.2,0.2,0.3,1.8
IN,French Lick town,88.8,5.8,0.3,1.2,2.1
IN,Fulton town,98.2,0,0,0,2.1
IN,Galena CDP,98.6,0,0.2,0.6,0.7
IN,Galveston town,96.9,0.5,0.3,0.5,1.6
IN,Garrett city,95.9,0.4,0.4,0.4,3.5
IN,Gary city,10.7,84.8,0.3,0.2,5.1
IN,Gas City city,96.2,0.9,0.3,0.4,2.4
IN,Gaston town,97,0.1,0,0.1,2.9
IN,Geneva town,94.6,0.6,0.2,0.2,5.4
IN,Gentryville town,95.9,1.1,1.9,0,1.1
IN,Georgetown town,97.3,0.3,0.3,0.6,1.9
IN,Glenwood town,100,0,0,0,0.4
IN,Goodland town,97.5,0.7,0.4,0,2.1
IN,Goshen city,78.2,2.6,0.5,1.2,28.1
IN,Gosport town,98.5,0.7,0,0.1,1
IN,Grabill town,96.8,0.6,0.7,0.5,1.6
IN,Grandview town,96.1,1.5,0.3,0,1.1
IN,Granger CDP,90.3,2.5,0.1,4.6,2.4
IN,Greencastle city,92.4,2.7,0.3,1.9,2.5
IN,Greendale city,95.6,1,0.2,0.8,1.6
IN,Greenfield city,96.6,0.6,0.3,0.8,1.8
IN,Greensboro town,100,0,0,0,2.8
IN,Greensburg city,96.1,0.4,0.2,1.3,2.4
IN,Greens Fork town,99.3,0,0.2,0.2,0
IN,Greentown town,97.1,0.6,0.2,1,1.5
IN,Greenville town,95.5,1.5,0.8,0.8,2
IN,Greenwood city,90.1,1.7,0.3,3.7,5
IN,Griffin town,98.8,0.6,0,0,0
IN,Griffith town,75.8,16.9,0.3,0.8,13.3
IN,Grissom AFB CDP,74.4,22.5,0.3,0.2,4.6
IN,Hagerstown town,97.7,0.6,0.2,0.3,0.8
IN,Hamilton town,98.4,0.3,0.2,0.3,1.1
IN,Hamlet town,96.6,0,1,0.1,2.6
