Geographic Area,City,Median Income
CA,Dos Palos city,33608
CA,Dos Palos Y CDP,19219
CA,Douglas City CDP,31776
CA,Downey city,62897
CA,Downieville CDP,(X)
CA,Doyle CDP,20926
CA,Drytown CDP,108333
CA,Duarte city,62089
CA,Dublin city,118773
CA,Ducor CDP,29313
CA,Dunnigan CDP,47898
CA,Dunsmuir city,24770
CA,Durham CDP,70374
CA,Dustin Acres CDP,59423
CA,Dutch Flat CDP,53512
CA,Eagleville CDP,(X)
CA,Earlimart CDP,23803
CA,East Foothills CDP,125037
CA,East Hemet CDP,48513
CA,East Los Angeles CDP,38766
CA,East Nicolaus CDP,27292
CA,East Oakdale CDP,102462
CA,Easton CDP,54345
CA,East Orosi CDP,34896
CA,East Palo Alto city,52012
CA,East Pasadena CDP,76523
CA,East Porterville CDP,32162
CA,East Quincy CDP,47346
CA,East Rancho Dominguez CDP,44127
CA,East Richmond Heights CDP,65438
CA,East San Gabriel CDP,65833
CA,East Shore CDP,60625
CA,East Sonora CDP,40640
CA,East Tulare Villa CDP,50163
CA,Eastvale city,110927
CA,East Whittier CDP,69006
CA,Edgewood CDP,(X)
CA,Edmundson Acres CDP,38750
CA,Edna CDP,75486
CA,Edwards AFB CDP,59554
CA,El Cajon city,45925
CA,El Centro city,40517
CA,El Cerrito city,88737
CA,El Cerrito CDP,60625
CA,El Dorado Hills CDP,119452
CA,Eldridge CDP,54506
CA,El Granada CDP,110434
CA,Elizabeth Lake CDP,56071
CA,Elk Creek CDP,38750
CA,Elk Grove city,79487
CA,Elkhorn CDP,90179
CA,Elmira CDP,70298
CA,El Monte city,38085
CA,El Nido CDP,32344
CA,El Paso de Robles (Paso Robles) city,60449
CA,El Portal CDP,100964
CA,El Rancho CDP,-
CA,El Rio CDP,62361
CA,El Segundo city,85727
CA,El Sobrante CDP (Contra Costa County),61538
CA,El Sobrante CDP (Riverside County),99361
CA,El Verano CDP,57823
CA,Elverta CDP,60096
CA,Emerald Lake Hills CDP,164643
CA,Emeryville city,77806
CA,Empire CDP,32071
CA,Encinitas city,95149
CA,Escalon city,52125
CA,Escondido city,50899
CA,Esparto CDP,66118
CA,Etna city,30688
CA,Eucalyptus Hills CDP,80234
CA,Eureka city,37094
CA,Exeter city,41309
CA,Fairbanks Ranch CDP,132740
CA,Fairfax town,91607
CA,Fairfield city,67364
CA,Fairhaven CDP,53750
CA,Fairmead CDP,31641
CA,Fair Oaks CDP,73115
CA,Fairview CDP,96678
CA,Fallbrook CDP,52083
CA,Fall River Mills CDP,31367
CA,Farmersville city,33548
CA,Farmington CDP,(X)
CA,Fellows CDP,75625
CA,Felton CDP,71763
CA,Ferndale city,43548
CA,Fetters Hot Springs-Agua Caliente CDP,57662
CA,Fiddletown CDP,50750
CA,Fieldbrook CDP,64750
CA,Fields Landing CDP,(X)
CA,Fillmore city,56239
CA,Firebaugh city,39150
CA,Fish Camp CDP,23578
CA,Florence-Graham CDP,33934
CA,Florin CDP,39998
CA,Floriston CDP,(X)
CA,Flournoy CDP,55625
CA,Folsom city,100978
CA,Fontana city,64824
CA,Foothill Farms CDP,44512
CA,Forbestown CDP,(X)
CA,Ford City CDP,31112
CA,Foresthill CDP,24755
CA,Forest Meadows CDP,59306
CA,Forest Ranch CDP,48255
CA,Forestville CDP,53112
CA,Fort Bidwell CDP,25500
CA,Fort Bragg city,33867
CA,Fort Dick CDP,57212
CA,Fort Irwin CDP,50136
CA,Fort Jones city,36136
CA,Fortuna city,44077
CA,Fort Washington CDP,67221
CA,Foster City city,123039
CA,Fountain Valley city,82367
CA,Fowler city,44539
CA,Franklin CDP (Merced County),40160
CA,Franklin CDP (Sacramento County),24135
CA,Frazier Park CDP,36156
CA,Freedom CDP,46333
CA,Freeport CDP,(X)
CA,Fremont city,105355
CA,French Camp CDP,35313
CA,French Gulch CDP,28047
CA,French Valley CDP,91046
CA,Fresno city,41531
CA,Friant CDP,21375
CA,Fruitdale CDP,77583
CA,Fruitridge Pocket CDP,27536
CA,Fuller Acres CDP,33365
CA,Fullerton city,65974
CA,Fulton CDP,(X)
CA,Furnace Creek CDP,32250
CA,Galt city,63065
CA,Garberville CDP,33239
CA,Gardena city,47674
CA,Garden Acres CDP,39375
CA,Garden Farms CDP,76488
CA,Garden Grove city,58449
CA,Garey CDP,(X)
CA,Garnet CDP,37134
CA,Gasquet CDP,36442
CA,Gazelle CDP,30556
CA,Georgetown CDP,44241
CA,Gerber CDP,47917
CA,Geyserville CDP,50962
CA,Gilroy city,83027
CA,Glendale city,52574
CA,Glendora city,75148
CA,Glen Ellen CDP,56188
CA,Golden Hills CDP,64243
CA,Gold Mountain CDP,-
CA,Gold River CDP,107721
CA,Goleta city,80438
CA,Gonzales city,48865
CA,Good Hope CDP,35688
CA,Goodyears Bar CDP,-
CA,Goshen CDP,35972
CA,Graeagle CDP,63261
CA,Grand Terrace city,63871
CA,Grangeville CDP,75313
CA,Granite Bay CDP,112718
CA,Granite Hills CDP,110787
CA,Graniteville CDP,-
CA,Grass Valley city,33700
CA,Graton CDP,55227
CA,Grayson CDP,27188
CA,Greeley Hill CDP,32500
CA,Greenacres CDP,57780
CA,Green Acres CDP,40583
CA,Greenfield CDP,45393
CA,Greenfield city,49263
CA,Greenhorn CDP,50855
CA,Green Valley CDP (Los Angeles County),78792
CA,Green Valley CDP (Solano County),66750
CA,Greenview CDP,30326
CA,Greenville CDP,26481
CA,Grenada CDP,41806
CA,Gridley city,35455
CA,Grimes CDP,41094
CA,Grizzly Flats CDP,49415
CA,Groveland CDP,(X)
CA,Grover Beach city,54228
CA,Guadalupe city,43710
CA,Guerneville CDP,44127
CA,Guinda CDP,(X)
CA,Gustine city,38125
CA,Hacienda Heights CDP,78039
CA,Half Moon Bay city,103255
CA,Hamilton Branch CDP,53250
CA,Hamilton City CDP,33257
CA,Hanford city,53986
CA,Happy Camp CDP,24861
CA,Harbison Canyon CDP,79167
CA,Hardwick CDP,(X)
CA,Hartland CDP,-
CA,Hartley CDP,94375
CA,Hasley Canyon CDP,113533
CA,Hat Creek CDP,36042
CA,Hawaiian Gardens city,37571
CA,Hawthorne city,44504
CA,Hayfork CDP,23819
CA,Hayward city,65096
CA,Healdsburg city,65638
CA,Heber CDP,37156
CA,Hemet city,33989
CA,Herald CDP,111058
CA,Hercules city,101018
CA,Herlong CDP,48214
CA,Hermosa Beach city,111187
CA,Hesperia city,44874
CA,Hickman CDP,54375
CA,Hidden Hills city,241667
CA,Hidden Meadows CDP,81417
CA,Hidden Valley Lake CDP,66682
CA,Highgrove CDP,43021
CA,Highland city,53851
CA,Highlands-Baywood Park CDP,145921
CA,Hillsborough town,229097
CA,Hilmar-Irwin CDP,54878
CA,Hiouchi CDP,45750
CA,Hollister city,69157
CA,Holtville city,24974
CA,Home Garden CDP,32411
CA,Home Gardens CDP,53480
CA,Homeland CDP,33457
CA,Homestead Valley CDP,29682
CA,Homewood Canyon CDP,-
CA,Honcut CDP,(X)
CA,Hood CDP,76429
CA,Hoopa CDP,29483
CA,Hopland CDP,40227
CA,Hornbrook CDP,30893
CA,Hornitos CDP,-
CA,Hughson city,52036
CA,Humboldt Hill CDP,48704
CA,Huntington Beach city,83252
CA,Huntington Park city,34887
CA,Huron city,27049
CA,Hyampom CDP,(X)
CA,Hydesville CDP,58304
CA,Idlewild CDP,-
CA,Idyllwild-Pine Cove CDP,61162
CA,Imperial city,80082
CA,Imperial Beach city,46659
CA,Independence CDP,48529
CA,Indian Falls CDP,20542
CA,Indianola CDP,36875
CA,Indian Wells city,93625
CA,Indio city,50525
CA,Indio Hills CDP,44006
CA,Industry city,51835
CA,Inglewood city,42044
CA,Interlaken CDP,64938
CA,Inverness CDP,52135
CA,Inyokern CDP,67994
CA,Ione city,50231
CA,Iron Horse CDP,69464
CA,Irvine city,92278
CA,Irwindale city,50341
CA,Isla Vista CDP,20550
CA,Isleton city,34833
CA,Ivanhoe CDP,29063
CA,Jackson city,43689
CA,Jacumba CDP,26034
CA,Jamestown CDP,35268
CA,Jamul CDP,111055
CA,Janesville CDP,73611
CA,Jenner CDP,82250
CA,Johannesburg CDP,-
CA,Johnstonville CDP,70197
CA,Johnsville CDP,-
CA,Joshua Tree CDP,36870
CA,Julian CDP,68929
CA,Junction City CDP,43500
CA,June Lake CDP,51434
CA,Jurupa Valley city,57749
CA,Keddie CDP,83750
CA,Keeler CDP,(X)
CA,Keene CDP,65893
CA,Kelly Ridge CDP,38253
CA,Kelseyville CDP,36713
CA,Kennedy CDP,38088
CA,Kennedy Meadows CDP,-
CA,Kensington CDP,146378
CA,Kentfield CDP,167708
CA,Kenwood CDP,79102
CA,Kerman city,41820
CA,Kernville CDP,49767
CA,Keswick CDP,26467
CA,Kettleman City CDP,34286
CA,Keyes CDP,42735
CA,King City city,40238
CA,Kings Beach CDP,39841
CA,Kingsburg city,57723
CA,Kingvale CDP,-
CA,Kirkwood CDP,(X)
CA,Klamath CDP,31719
CA,Knightsen CDP,79531
CA,Knights Landing CDP,42813
CA,La Ca_ada Flintridge city,156883
CA,La Crescenta-Montrose CDP,85458
CA,Ladera CDP,"250,000+"
CA,Ladera Heights CDP,102281
CA,Ladera Ranch CDP,134435
CA,Lafayette city,137895
CA,Laguna Beach city,98366
CA,Laguna Hills city,89754
CA,Laguna Niguel city,95536
CA,Laguna Woods city,38674
CA,Lagunitas-Forest Knolls CDP,73616
CA,La Habra city,63037
CA,La Habra Heights city,111382
CA,La Honda CDP,73688
CA,Lake Almanor Country Club CDP,76667
CA,Lake Almanor Peninsula CDP,67250
CA,Lake Almanor West CDP,(X)
CA,Lake Arrowhead CDP,62050
CA,Lake California CDP,51200
CA,Lake City CDP,"2,500-"
CA,Lake Davis CDP,-
CA,Lake Don Pedro CDP,68929
CA,Lake Elsinore city,61248
CA,Lake Forest city,91254
CA,Lakehead CDP,30357
CA,Lake Hughes CDP,(X)
CA,Lake Isabella CDP,23795
CA,Lakeland Village CDP,39581
CA,Lake Los Angeles CDP,40240
CA,Lake Mathews CDP,68140
CA,Lake Nacimiento CDP,71641
CA,Lake of the Pines CDP,75274
CA,Lake of the Woods CDP,44500
CA,Lakeport city,39605
CA,Lake Riverside CDP,70750
CA,Lake San Marcos CDP,46510
CA,Lake Sherwood CDP,189744
CA,Lakeside CDP,62894
CA,Lakeview CDP,53191
CA,Lake Wildwood CDP,63271
CA,Lakewood city,79193
CA,La Mesa city,54667
CA,La Mirada city,79330
CA,Lamont CDP,33351
CA,Lanare CDP,(X)
CA,Lancaster city,47225
CA,La Palma city,82304
CA,La Porte CDP,-
CA,La Presa CDP,60251
CA,La Puente city,56512
CA,La Quinta city,71091
CA,La Riviera CDP,57138
CA,Larkfield-Wikiup CDP,68787
CA,Larkspur city,88829
CA,La Selva Beach CDP,106343
CA,Las Flores CDP (Orange County),130683
CA,Las Flores CDP (Tehama County),29803
CA,Las Lomas CDP,63710
CA,Lathrop city,62267
CA,Laton CDP,27701
CA,La Verne city,74631
CA,La Vina CDP,31094
CA,Lawndale city,47540
CA,Laytonville CDP,23315
CA,Lebec CDP,(X)
CA,Lee Vining CDP,-
CA,Leggett CDP,(X)
CA,Le Grand CDP,39000
CA,Lemon Cove CDP,37500
CA,Lemon Grove city,55404
CA,Lemon Hill CDP,28465
CA,Lemoore city,49623
CA,Lemoore Station CDP,41552
CA,Lennox CDP,36424
CA,Lenwood CDP,37264
CA,Leona Valley CDP,79728
CA,Lewiston CDP,31250
CA,Lexington Hills CDP,140323
CA,Likely CDP,-
CA,Lincoln city,72399
CA,Lincoln Village CDP,55221
CA,Linda CDP,36836
CA,Lindcove CDP,43571
CA,Linden CDP,84239
CA,Lindsay city,30789
CA,Linnell Camp CDP,19560
CA,Litchfield CDP,47625
CA,Little Grass Valley CDP,-
CA,Little River CDP,(X)
CA,Littlerock CDP,39313
CA,Little Valley CDP,13036
CA,Live Oak CDP,68875
CA,Live Oak city,42288
CA,Livermore city,100992
CA,Livingston city,51538
CA,Lockeford CDP,44244
CA,Lockwood CDP,46538
CA,Lodi city,49316
CA,Lodoga CDP,42031
CA,Loleta CDP,45417
CA,Loma Linda city,55895
CA,Loma Mar CDP,(X)
CA,Loma Rica CDP,62404
CA,Lomita city,57078
CA,Lompico CDP,69500
CA,Lompoc city,44866
CA,London CDP,24491
CA,Lone Pine CDP,31321
CA,Long Barn CDP,-
CA,Long Beach city,52783
CA,Lookout CDP,(X)
CA,Loomis town,89706
CA,Los Alamitos city,80033
CA,Los Alamos CDP,61115
CA,Los Altos city,175938
CA,Los Altos Hills town,226319
CA,Los Angeles city,50205
CA,Los Banos city,44292
CA,Los Berros CDP,60565
CA,Los Gatos town,126122
CA,Los Molinos CDP,40347
CA,Los Olivos CDP,89605
CA,Los Osos CDP,62857
CA,Los Ranchos CDP,92500
CA,Lost Hills CDP,31033
CA,Lower Lake CDP,30610
CA,Loyalton city,40563
CA,Loyola CDP,200208
CA,Lucas Valley-Marinwood CDP,117071
CA,Lucerne CDP,23059
CA,Lucerne Valley CDP,26429
CA,Lynwood city,43109
CA,Lytle Creek CDP,48646
CA,Mabie CDP,-
CA,McArthur CDP,43478
CA,McClellan Park CDP,16938
CA,McClenney Tract CDP,-
CA,McCloud CDP,38068
CA,Macdoel CDP,35625
CA,McFarland city,34032
CA,McGee Creek CDP,(X)
CA,McKinleyville CDP,50286
CA,McKittrick CDP,40000
CA,McSwain CDP,100156
CA,Madera city,40457
CA,Madera Acres CDP,61573
CA,Madison CDP,55156
CA,Mad River CDP,33947
CA,Magalia CDP,41289
CA,Malaga CDP,39837
CA,Malibu city,119659
CA,Mammoth Lakes town,55799
CA,Manchester CDP,36250
CA,Manhattan Beach city,143527
CA,Manila CDP,32566
CA,Manteca city,62364
CA,Manton CDP,31750
CA,March ARB CDP,68750
CA,Maricopa city,28947
CA,Marina city,54193
CA,Marina del Rey CDP,100195
CA,Marin City CDP,40321
CA,Mariposa CDP,38472
CA,Markleeville CDP,51250
CA,Martell CDP,(X)
CA,Martinez city,87959
CA,Marysville city,34566
CA,Matheny CDP,30565
CA,Mather CDP,79784
CA,Maxwell CDP,46944
CA,Mayfair CDP,46732
CA,Mayflower Village CDP,65395
CA,Maywood city,35582
CA,Meadowbrook CDP,39567
CA,Meadow Valley CDP,47891
CA,Meadow Vista CDP,77228
CA,Mead Valley CDP,40551
CA,Mecca CDP,26047
CA,Meiners Oaks CDP,74375
CA,Mendocino CDP,50951
CA,Mendota city,25862
CA,Menifee city,55985
CA,Menlo Park city,121816
CA,Mentone CDP,55781
CA,Merced city,37627
CA,Meridian CDP,56250
CA,Mesa CDP,100500
CA,Mesa Verde CDP,31912
CA,Mesa Vista CDP,51875
CA,Mettler CDP,40000
CA,Mexican Colony CDP,16875
CA,Middletown CDP,(X)
CA,Midpines CDP,(X)
CA,Midway City CDP,44425
CA,Milford CDP,115260
CA,Millbrae city,93777
CA,Mill Valley city,143005
CA,Millville CDP,64028
CA,Milpitas city,100242
CA,Mineral CDP,45625
CA,Minkler CDP,(X)
CA,Mira Monte CDP,61150
CA,Miranda CDP,35417
CA,Mission Canyon CDP,120227
CA,Mission Hills CDP,83234
CA,Mission Viejo city,100366
CA,Mi-Wuk Village CDP,54758
CA,Modesto city,48577
CA,Mohawk Vista CDP,(X)
CA,Mojave CDP,36250
CA,Mokelumne Hill CDP,61890
CA,Monmouth CDP,30625
CA,Mono City CDP,(X)
CA,Mono Vista CDP,53596
CA,Monrovia city,70358
CA,Monson CDP,(X)
CA,Montague city,46591
CA,Montalvin Manor CDP,66467
CA,Montara CDP,123194
CA,Montclair city,49366
CA,Montebello city,45875
CA,Montecito CDP,136619
CA,Monterey city,66166
CA,Monterey Park city,54097
CA,Monterey Park Tract CDP,-
CA,Monte Rio CDP,32763
CA,Monte Sereno city,193482
CA,Montgomery Creek CDP,57386
CA,Monument Hills CDP,113750
CA,Moorpark city,99777
CA,Morada CDP,105658
CA,Moraga town,137436
CA,Moreno Valley city,54590
CA,Morgan Hill city,96051
CA,Morongo Valley CDP,34276
CA,Morro Bay city,51338
CA,Moskowite Corner CDP,52750
CA,Moss Beach CDP,91441
CA,Moss Landing CDP,31500
CA,Mountain Center CDP,-
CA,Mountain Gate CDP,32337
CA,Mountain House CDP,106976
CA,Mountain Mesa CDP,24028
CA,Mountain Ranch CDP,36994
CA,Mountain View CDP,49867
CA,Mountain View city,103488
CA,Mountain View Acres CDP,55620
CA,Mount Hebron CDP,20000
CA,Mount Hermon CDP,74000
CA,Mount Laguna CDP,-
CA,Mount Shasta city,39777
CA,Muir Beach CDP,135278
CA,Murphys CDP,45330
CA,Murrieta city,74610
CA,Muscoy CDP,36108
CA,Myers Flat CDP,-
CA,Myrtletown CDP,62385
CA,Napa city,68038
CA,National City city,41437
CA,Needles city,30443
CA,Nevada City city,47981
CA,Newark city,86757
CA,Newcastle CDP,48438
CA,New Cuyama CDP,40125
CA,Newell CDP,(X)
CA,Newman city,50225
CA,New Pine Creek CDP,25750
CA,Newport Beach city,113071
CA,Nicasio CDP,72083
CA,Nice CDP,28813
CA,Nicolaus CDP,71667
CA,Niland CDP,19653
CA,Nipinnawasee CDP,65389
CA,Nipomo CDP,60348
CA,Norco city,88051
CA,Nord CDP,(X)
CA,Norris Canyon CDP,"250,000+"
CA,North Auburn CDP,52305
CA,North Edwards CDP,44531
CA,North El Monte CDP,67917
CA,North Fair Oaks CDP,64851
CA,North Gate CDP,96208
CA,North Highlands CDP,39430
CA,North Lakeport CDP,43056
CA,North Richmond CDP,31490
CA,North San Juan CDP,26696
CA,North Shore CDP,26655
CA,North Tustin CDP,124248
CA,Norwalk city,59756
CA,Novato city,78439
CA,Nubieber CDP,(X)
CA,Nuevo CDP,57446
CA,Oakdale city,51785
CA,Oak Glen CDP,(X)
CA,Oak Hills CDP,69260
CA,Oakhurst CDP,36923
CA,Oakland city,54618
CA,Oakley city,82885
CA,Oak Park CDP,120696
CA,Oak Shores CDP,86000
CA,Oak View CDP,71792
CA,Oakville CDP,-
CA,Oasis CDP,24646
CA,Occidental CDP,71295
CA,Oceano CDP,49721
CA,Oceanside city,57703
CA,Ocotillo CDP,22321
CA,Oildale CDP,35552
CA,Ojai city,61192
CA,Olancha CDP,(X)
CA,Old Fig Garden CDP,59844
CA,Old Station CDP,36595
CA,Olivehurst CDP,44065
CA,Ontario city,54114
CA,Onyx CDP,29537
CA,Orange city,78513
CA,Orange Cove city,26838
CA,Orangevale CDP,71057
CA,Orcutt CDP,72597
CA,Orick CDP,34375
CA,Orinda city,165103
CA,Orland city,36267
CA,Orosi CDP,34724
CA,Oroville city,36462
CA,Oroville East CDP,47721
CA,Oxnard city,60621
CA,Pacheco CDP,52988
CA,Pacifica city,100193
CA,Pacific Grove city,79740
CA,Pajaro CDP,33194
CA,Pajaro Dunes CDP,66705
CA,Pala CDP,62813
CA,Palermo CDP,39366
CA,Palmdale city,52392
CA,Palm Desert city,52892
CA,Palm Springs city,44075
CA,Palo Alto city,136519
CA,Palo Cedro CDP,80659
CA,Palos Verdes Estates city,174500
CA,Palo Verde CDP,15329
CA,Panorama Heights CDP,32500
CA,Paradise town,44923
CA,Paradise CDP,49861
CA,Paradise Park CDP,64500
CA,Paramount city,45792
CA,Parklawn CDP,31957
CA,Parksdale CDP,31364
CA,Parkway CDP,32706
CA,Parkwood CDP,41250
CA,Parlier city,31335
CA,Pasadena city,72402
CA,Pasatiempo CDP,153333
CA,Paskenta CDP,37656
CA,Patterson city,53542
CA,Patterson Tract CDP,34186
CA,Patton Village CDP,47112
CA,Paxton CDP,-
CA,Paynes Creek CDP,34643
CA,Pearsonville CDP,-
CA,Penngrove CDP,74245
CA,Penn Valley CDP,41487
CA,Penryn CDP,72063
CA,Perris city,49325
CA,Pescadero CDP,(X)
CA,Petaluma city,80276
CA,Peters CDP,112679
CA,Phelan CDP,52064
CA,Phillipsville CDP,23750
CA,Philo CDP,(X)
CA,Phoenix Lake CDP,75460
CA,Pico Rivera city,55752
CA,Piedmont city,208772
CA,Pierpoint CDP,-
CA,Pike CDP,(X)
CA,Pine Canyon CDP,57424
CA,Pine Flat CDP,21250
CA,Pine Grove CDP,59375
CA,Pine Hills CDP,60909
CA,Pine Mountain Club CDP,41765
CA,Pine Mountain Lake CDP,53964
CA,Pine Valley CDP,100321
CA,Pinole city,72149
CA,Pi_on Hills CDP,44984
CA,Pioneer CDP,46429
CA,Piru CDP,47125
CA,Pismo Beach city,73355
CA,Pittsburg city,60777
CA,Pixley CDP,27917
CA,Placentia city,79598
CA,Placerville city,45788
CA,Plainview CDP,25568
CA,Planada CDP,35139
CA,Pleasant Hill city,81226
CA,Pleasanton city,124759
CA,Pleasure Point CDP,54621
CA,Plumas Eureka CDP,62813
CA,Plumas Lake CDP,79094
CA,Plymouth city,44844
CA,Point Arena city,28365
CA,Point Reyes Station CDP,30978
CA,Pollock Pines CDP,53621
CA,Pomona city,49186
CA,Ponderosa CDP,-
CA,Poplar-Cotton Center CDP,21627
CA,Port Costa CDP,94837
CA,Porterville city,38456
CA,Port Hueneme city,57848
CA,Portola city,33098
CA,Portola Valley town,185234
CA,Posey CDP,-
CA,Poso Park CDP,-
CA,Potrero CDP,27375
CA,Potter Valley CDP,76591
CA,Poway city,95815
CA,Prattville CDP,-
CA,Princeton CDP,46944
CA,Proberta CDP,(X)
CA,Prunedale CDP,70017
CA,Quartz Hill CDP,54245
CA,Quincy CDP,45347
CA,Rackerby CDP,(X)
CA,Rail Road Flat CDP,32688
CA,Rainbow CDP,68125
CA,Raisin City CDP,(X)
CA,Ramona CDP,63623
CA,Rancho Calaveras CDP,56406
CA,Rancho Cordova city,52530
CA,Rancho Cucamonga city,77396
CA,Rancho Mirage city,66086
CA,Rancho Murieta CDP,105049
CA,Rancho Palos Verdes city,118780
CA,Rancho San Diego CDP,80751
CA,Rancho Santa Fe CDP,111250
CA,Rancho Santa Margarita city,105328
CA,Rancho Tehama Reserve CDP,27039
CA,Randsburg CDP,26842
CA,Red Bluff city,31239
CA,Red Corral CDP,66125
CA,Redcrest CDP,27250
CA,Redding city,43341
CA,Redlands city,65212
CA,Redondo Beach city,105145
CA,Redway CDP,37778
CA,Redwood City city,84934
CA,Redwood Valley CDP,79321
CA,Reedley city,44228
CA,Reliez Valley CDP,133750
CA,Rialto city,50971
CA,Richfield CDP,45938
CA,Richgrove CDP,28333
CA,Richmond city,55102
CA,Richvale CDP,79018
CA,Ridgecrest city,59936
CA,Ridgemark CDP,101587
CA,Rio Dell city,38400
CA,Rio del Mar CDP,95813
CA,Rio Linda CDP,52500
CA,Rio Oso CDP,70357
CA,Rio Vista city,62079
CA,Ripley CDP,16016
CA,Ripon city,80734
CA,Riverbank city,60017
CA,Riverdale CDP,48490
CA,Riverdale Park CDP,35000
CA,River Pines CDP,49750
CA,Riverside city,57196
CA,Robbins CDP,27583
CA,Robinson Mill CDP,-
CA,Rocklin city,80177
CA,Rodeo CDP,64089
CA,Rodriguez Camp CDP,(X)
CA,Rohnert Park city,58317
CA,Rolling Hills city,216458
CA,Rolling Hills CDP,96442
CA,Rolling Hills Estates city,137500
CA,Rollingwood CDP,50329
CA,Romoland CDP,(X)
CA,Rosamond CDP,58265
CA,Rosedale CDP,114379
CA,Rose Hills CDP,105174
CA,Roseland CDP,50950
CA,Rosemead city,44906
CA,Rosemont CDP,56356
CA,Roseville city,75867
CA,Ross town,192188
CA,Rossmoor CDP,114677
CA,Rough and Ready CDP,43958
CA,Round Mountain CDP,(X)
CA,Round Valley CDP,50357
CA,Rouse CDP,28333
CA,Rowland Heights CDP,59534
CA,Running Springs CDP,60109
CA,Ruth CDP,15781
CA,Rutherford CDP,61442
CA,Sacramento city,50739
CA,St. Helena city,85083
CA,Salida CDP,69033
CA,Salinas city,49840
CA,Salmon Creek CDP,-
CA,Salton City CDP,36932
CA,Salton Sea Beach CDP,(X)
CA,Samoa CDP,39583
CA,San Andreas CDP,40125
CA,San Anselmo town,102316
CA,San Antonio Heights CDP,94295
CA,San Ardo CDP,40375
CA,San Bernardino city,37047
CA,San Bruno city,83888
CA,San Buenaventura (Ventura) city,66995
CA,San Carlos city,131685
CA,San Clemente city,98153
CA,Sand City city,40625
CA,San Diego city,66116
CA,San Diego Country Estates CDP,100719
CA,San Dimas city,78034
CA,San Fernando city,55170
CA,San Francisco city,81294
CA,San Gabriel city,51579
CA,Sanger city,43099
CA,San Geronimo CDP,85625
CA,San Jacinto city,46725
CA,San Joaquin city,24437
CA,San Jose city,84647
CA,San Juan Bautista city,58446
CA,San Juan Capistrano city,72472
CA,San Leandro city,62761
CA,San Lorenzo CDP,74807
CA,San Lucas CDP,43750
CA,San Luis Obispo city,46058
CA,San Marcos city,57822
CA,San Marino city,133676
CA,San Martin CDP,101645
CA,San Mateo city,90208
CA,San Miguel CDP (Contra Costa County),155181
CA,San Miguel CDP (San Luis Obispo County),49274
CA,San Pablo city,43868
CA,San Pasqual CDP,87708
CA,San Rafael city,77294
CA,San Ramon city,128916
CA,San Simeon CDP,(X)
CA,Santa Ana city,52253
CA,Santa Barbara city,66107
CA,Santa Clara city,98914
CA,Santa Clarita city,83554
CA,Santa Cruz city,62164
CA,Santa Fe Springs city,53168
CA,Santa Margarita CDP,48814
CA,Santa Maria city,50433
CA,Santa Monica city,76580
CA,Santa Nella CDP,28144
CA,Santa Paula city,52824
CA,Santa Rosa city,61050
CA,Santa Rosa Valley CDP,176305
CA,Santa Susana CDP,87500
CA,Santa Venetia CDP,86182
CA,Santa Ynez CDP,100202
CA,Santee city,76104
CA,Saranap CDP,110795
CA,Saratoga city,169189
CA,Saticoy CDP,51875
CA,Sattley CDP,-
CA,Sausalito city,122434
CA,Scotia CDP,53621
CA,Scotts Valley city,101475
CA,Seacliff CDP,61856
CA,Seal Beach city,55270
CA,Sea Ranch CDP,75598
CA,Searles Valley CDP,41146
CA,Seaside city,51704
CA,Sebastopol city,57560
CA,Seeley CDP,23882
CA,Selma city,42948
CA,Sequoia Crest CDP,-
CA,Sereno del Mar CDP,(X)
CA,Seville CDP,23750
CA,Shafter city,40881
CA,Shandon CDP,57632
CA,Shasta CDP,55755
CA,Shasta Lake city,42003
CA,Shaver Lake CDP,81477
CA,Shell Ridge CDP,122083
CA,Shelter Cove CDP,(X)
CA,Sheridan CDP,49083
CA,Shingle Springs CDP,76708
CA,Shingletown CDP,45575
CA,Shoshone CDP,-
CA,Sierra Brooks CDP,47738
CA,Sierra City CDP,153375
CA,Sierra Madre city,92384
CA,Sierra Village CDP,44648
CA,Sierraville CDP,53750
CA,Signal Hill city,65773
CA,Silverado Resort CDP,168219
CA,Silver City CDP,-
CA,Silver Lakes CDP,69157
CA,Simi Valley city,90210
CA,Sisquoc CDP,44500
CA,Sky Valley CDP,37625
CA,Sleepy Hollow CDP,189667
CA,Smartsville CDP,25063
CA,Smith Corner CDP,40143
CA,Smith River CDP,42944
CA,Snelling CDP,49643
CA,Soda Bay CDP,56200
CA,Soda Springs CDP,-
CA,Solana Beach city,96902
CA,Soledad city,51161
CA,Solvang city,67484
CA,Sonoma city,62516
CA,Sonora city,34605
CA,Soquel CDP,75033
CA,Soulsbyville CDP,73656
CA,South Dos Palos CDP,44571
CA,South El Monte city,40938
CA,South Gate city,43552
CA,South Lake Tahoe city,39793
CA,South Monrovia Island CDP,57292
CA,South Oroville CDP,33862
CA,South Pasadena city,78957
CA,South San Francisco city,81439
CA,South San Gabriel CDP,64474
CA,South San Jose Hills CDP,55050
CA,South Taft CDP,38512
CA,South Whittier CDP,62592
CA,Spaulding CDP,61591
CA,Spreckels CDP,82396
CA,Spring Garden CDP,-
CA,Spring Valley CDP (Lake County),25750
CA,Spring Valley CDP (San Diego County),62356
CA,Spring Valley Lake CDP,70481
CA,Springville CDP,30861
CA,Squaw Valley CDP,64325
