Geographic Area,City,poverty_rate
CA,Joshua Tree CDP,24
CA,Julian CDP,14
CA,Junction City CDP,14.4
CA,June Lake CDP,0
CA,Jurupa Valley city,17
CA,Keddie CDP,0
CA,Keeler CDP,13.4
CA,Keene CDP,32.5
CA,Kelly Ridge CDP,11.4
CA,Kelseyville CDP,27
CA,Kennedy CDP,23.7
CA,Kennedy Meadows CDP,0
CA,Kensington CDP,7.1
CA,Kentfield CDP,5.1
CA,Kenwood CDP,1.1
CA,Kerman city,25.6
CA,Kernville CDP,10.5
CA,Keswick CDP,9.5
CA,Kettleman City CDP,27.6
CA,Keyes CDP,31.1
CA,King City city,23.9
CA,Kings Beach CDP,16.6
CA,Kingsburg city,17.9
CA,Kingvale CDP,31
CA,Kirkwood CDP,53.3
CA,Klamath CDP,28.9
CA,Knightsen CDP,12.1
CA,Knights Landing CDP,18.2
CA,La Ca_ada Flintridge city,2.5
CA,La Crescenta-Montrose CDP,7.5
CA,Ladera CDP,1.2
CA,Ladera Heights CDP,6.8
CA,Ladera Ranch CDP,2.1
CA,Lafayette city,4.9
CA,Laguna Beach city,6.7
CA,Laguna Hills city,8.5
CA,Laguna Niguel city,6.6
CA,Laguna Woods city,10.3
CA,Lagunitas-Forest Knolls CDP,2.7
CA,La Habra city,13.2
CA,La Habra Heights city,3.4
CA,La Honda CDP,10.7
CA,Lake Almanor Country Club CDP,2.2
CA,Lake Almanor Peninsula CDP,5.8
CA,Lake Almanor West CDP,9.6
CA,Lake Arrowhead CDP,16.2
CA,Lake California CDP,8.7
CA,Lake City CDP,87
CA,Lake Davis CDP,0
CA,Lake Don Pedro CDP,3.8
CA,Lake Elsinore city,14.6
CA,Lake Forest city,7.4
CA,Lakehead CDP,33.3
CA,Lake Hughes CDP,49.1
CA,Lake Isabella CDP,39.2
CA,Lakeland Village CDP,25.6
CA,Lake Los Angeles CDP,30.1
CA,Lake Mathews CDP,12.8
CA,Lake Nacimiento CDP,3.1
CA,Lake of the Pines CDP,3.3
CA,Lake of the Woods CDP,15
CA,Lakeport city,17.7
CA,Lake Riverside CDP,7.2
CA,Lake San Marcos CDP,18.3
CA,Lake Sherwood CDP,4.8
CA,Lakeside CDP,11.6
CA,Lakeview CDP,22
CA,Lake Wildwood CDP,4.7
CA,Lakewood city,7.9
CA,La Mesa city,12.4
CA,La Mirada city,7.5
CA,Lamont CDP,37.4
CA,Lanare CDP,62.5
CA,Lancaster city,23.5
CA,La Palma city,7.3
CA,La Porte CDP,-
CA,La Presa CDP,13.7
CA,La Puente city,14.5
CA,La Quinta city,9.6
CA,La Riviera CDP,21
CA,Larkfield-Wikiup CDP,9.9
CA,Larkspur city,4
CA,La Selva Beach CDP,5.2
CA,Las Flores CDP (Orange County),3.8
CA,Las Flores CDP (Tehama County),5.2
CA,Las Lomas CDP,21.8
CA,Lathrop city,13.1
CA,Laton CDP,49.1
CA,La Verne city,8.2
CA,La Vina CDP,43
CA,Lawndale city,17.8
CA,Laytonville CDP,34.3
CA,Lebec CDP,23.3
CA,Lee Vining CDP,0
CA,Leggett CDP,32.4
CA,Le Grand CDP,33.1
CA,Lemon Cove CDP,15.8
CA,Lemon Grove city,15.1
CA,Lemon Hill CDP,38.9
CA,Lemoore city,15.6
CA,Lemoore Station CDP,15.8
CA,Lennox CDP,32.3
CA,Lenwood CDP,44.6
CA,Leona Valley CDP,6.6
CA,Lewiston CDP,29.4
CA,Lexington Hills CDP,3.2
CA,Likely CDP,0
CA,Lincoln city,9.1
CA,Lincoln Village CDP,8.9
CA,Linda CDP,32.6
CA,Lindcove CDP,28.9
CA,Linden CDP,12.3
CA,Lindsay city,37.9
CA,Linnell Camp CDP,64.6
CA,Litchfield CDP,6.6
CA,Little Grass Valley CDP,-
CA,Little River CDP,52.1
CA,Littlerock CDP,30.1
CA,Little Valley CDP,50
CA,Live Oak CDP,13.4
CA,Live Oak city,21.8
CA,Livermore city,5.7
CA,Livingston city,20.8
CA,Lockeford CDP,20.7
CA,Lockwood CDP,27.1
CA,Lodi city,17.4
CA,Lodoga CDP,4.4
CA,Loleta CDP,23.3
CA,Loma Linda city,17.6
CA,Loma Mar CDP,57
CA,Loma Rica CDP,9.7
CA,Lomita city,14.7
CA,Lompico CDP,8.9
CA,Lompoc city,21.3
CA,London CDP,47.2
CA,Lone Pine CDP,15.6
CA,Long Barn CDP,70.6
CA,Long Beach city,20.6
CA,Lookout CDP,0
CA,Loomis town,2.4
CA,Los Alamitos city,11.2
CA,Los Alamos CDP,26.5
CA,Los Altos city,2.6
CA,Los Altos Hills town,5.3
CA,Los Angeles city,22.1
CA,Los Banos city,26.2
CA,Los Berros CDP,20
CA,Los Gatos town,5.6
CA,Los Molinos CDP,29.2
CA,Los Olivos CDP,1.3
CA,Los Osos CDP,9.5
CA,Los Ranchos CDP,6
CA,Lost Hills CDP,37.2
CA,Lower Lake CDP,14.8
CA,Loyalton city,16.3
CA,Loyola CDP,1.6
CA,Lucas Valley-Marinwood CDP,6.8
CA,Lucerne CDP,39
CA,Lucerne Valley CDP,22.9
CA,Lynwood city,25.3
CA,Lytle Creek CDP,6.4
CA,Mabie CDP,0
CA,McArthur CDP,15.2
CA,McClellan Park CDP,59.6
CA,McClenney Tract CDP,33.3
CA,McCloud CDP,21.9
CA,Macdoel CDP,15.2
CA,McFarland city,36.8
CA,McGee Creek CDP,0
CA,McKinleyville CDP,13.9
CA,McKittrick CDP,6.1
CA,McSwain CDP,8.1
CA,Madera city,27.6
CA,Madera Acres CDP,13.3
CA,Madison CDP,3.6
CA,Mad River CDP,29.9
CA,Magalia CDP,17.9
CA,Malaga CDP,31.7
CA,Malibu city,10.5
CA,Mammoth Lakes town,3.8
CA,Manchester CDP,7.1
CA,Manhattan Beach city,4
CA,Manila CDP,14.5
CA,Manteca city,12.1
CA,Manton CDP,42.3
CA,March ARB CDP,22.4
CA,Maricopa city,36.1
CA,Marina city,15.3
CA,Marina del Rey CDP,13
CA,Marin City CDP,33.4
CA,Mariposa CDP,33.3
CA,Markleeville CDP,10.2
CA,Martell CDP,0
CA,Martinez city,6.1
CA,Marysville city,28.6
CA,Matheny CDP,36.8
CA,Mather CDP,6.7
CA,Maxwell CDP,9.7
CA,Mayfair CDP,29.9
CA,Mayflower Village CDP,7.2
CA,Maywood city,30.1
CA,Meadowbrook CDP,35
CA,Meadow Valley CDP,31.1
CA,Meadow Vista CDP,5.4
CA,Mead Valley CDP,33.4
CA,Mecca CDP,43.1
CA,Meiners Oaks CDP,17.3
CA,Mendocino CDP,6.7
CA,Mendota city,46.5
CA,Menifee city,12.1
CA,Menlo Park city,7.8
CA,Mentone CDP,9.9
CA,Merced city,31.9
CA,Meridian CDP,16.7
CA,Mesa CDP,4.7
CA,Mesa Verde CDP,23.3
CA,Mesa Vista CDP,20.7
CA,Mettler CDP,21.3
CA,Mexican Colony CDP,83.1
CA,Middletown CDP,18.6
CA,Midpines CDP,8.2
CA,Midway City CDP,22.2
CA,Milford CDP,0
CA,Millbrae city,6.5
CA,Mill Valley city,3.3
CA,Millville CDP,10.3
CA,Milpitas city,8.2
CA,Mineral CDP,10.1
CA,Minkler CDP,17.9
CA,Mira Monte CDP,13.4
CA,Miranda CDP,37.1
CA,Mission Canyon CDP,3.6
CA,Mission Hills CDP,5.8
CA,Mission Viejo city,5.4
CA,Mi-Wuk Village CDP,11.2
CA,Modesto city,20.5
CA,Mohawk Vista CDP,38.8
CA,Mojave CDP,31.1
CA,Mokelumne Hill CDP,29
CA,Monmouth CDP,4.8
CA,Mono City CDP,0
CA,Mono Vista CDP,13.6
CA,Monrovia city,10.1
CA,Monson CDP,45.6
CA,Montague city,21.2
CA,Montalvin Manor CDP,8.1
CA,Montara CDP,3.6
CA,Montclair city,16.9
CA,Montebello city,14
CA,Montecito CDP,7
CA,Monterey city,9.1
CA,Monterey Park city,17.3
CA,Monterey Park Tract CDP,86
CA,Monte Rio CDP,26
CA,Monte Sereno city,3.4
CA,Montgomery Creek CDP,3.2
CA,Monument Hills CDP,2.4
CA,Moorpark city,7.2
CA,Morada CDP,3.3
CA,Moraga town,5
CA,Moreno Valley city,19.3
CA,Morgan Hill city,9.8
CA,Morongo Valley CDP,15.4
CA,Morro Bay city,12.9
CA,Moskowite Corner CDP,13.4
CA,Moss Beach CDP,5.1
CA,Moss Landing CDP,19
CA,Mountain Center CDP,0
CA,Mountain Gate CDP,23.4
CA,Mountain House CDP,5.8
CA,Mountain Mesa CDP,67.1
CA,Mountain Ranch CDP,18.9
CA,Mountain View CDP,21.9
CA,Mountain View city,7.8
CA,Mountain View Acres CDP,22.2
CA,Mount Hebron CDP,5.1
CA,Mount Hermon CDP,9.2
CA,Mount Laguna CDP,0
CA,Mount Shasta city,23.3
CA,Muir Beach CDP,0
CA,Murphys CDP,12.5
CA,Murrieta city,8.4
CA,Muscoy CDP,33.5
CA,Myers Flat CDP,-
CA,Myrtletown CDP,9.8
CA,Napa city,9.5
CA,National City city,24.5
CA,Needles city,27.7
CA,Nevada City city,13.7
CA,Newark city,7.9
CA,Newcastle CDP,13.7
CA,New Cuyama CDP,31.9
CA,Newell CDP,28.7
CA,Newman city,19.8
CA,New Pine Creek CDP,36.4
CA,Newport Beach city,7.1
CA,Nicasio CDP,0
CA,Nice CDP,27
CA,Nicolaus CDP,5.7
CA,Niland CDP,34.3
CA,Nipinnawasee CDP,16.1
CA,Nipomo CDP,12
CA,Norco city,7
CA,Nord CDP,35.9
CA,Norris Canyon CDP,0
CA,North Auburn CDP,13.6
CA,North Edwards CDP,34
CA,North El Monte CDP,9.2
CA,North Fair Oaks CDP,22.4
CA,North Gate CDP,8.4
CA,North Highlands CDP,27.5
CA,North Lakeport CDP,17.7
CA,North Richmond CDP,32.3
CA,North San Juan CDP,41.4
CA,North Shore CDP,37.7
CA,North Tustin CDP,3.1
CA,Norwalk city,14.3
CA,Novato city,7.7
CA,Nubieber CDP,31.3
CA,Nuevo CDP,21.4
CA,Oakdale city,18.6
CA,Oak Glen CDP,1.1
CA,Oak Hills CDP,9.3
CA,Oakhurst CDP,19.2
CA,Oakland city,20.4
CA,Oakley city,8.2
CA,Oak Park CDP,5.5
CA,Oak Shores CDP,0
CA,Oak View CDP,8.5
CA,Oakville CDP,0
CA,Oasis CDP,47.1
CA,Occidental CDP,1.7
CA,Oceano CDP,20.2
CA,Oceanside city,14.1
CA,Ocotillo CDP,48
CA,Oildale CDP,29.3
CA,Ojai city,12.8
CA,Olancha CDP,0
CA,Old Fig Garden CDP,22.5
CA,Old Station CDP,0
CA,Olivehurst CDP,18.8
CA,Ontario city,18.1
CA,Onyx CDP,34.4
CA,Orange city,13.2
CA,Orange Cove city,53
CA,Orangevale CDP,9.2
CA,Orcutt CDP,6.1
CA,Orick CDP,30.3
CA,Orinda city,2.2
CA,Orland city,27.9
CA,Orosi CDP,26.6
CA,Oroville city,23.8
CA,Oroville East CDP,13
CA,Oxnard city,16.6
CA,Pacheco CDP,12.8
CA,Pacifica city,6.1
CA,Pacific Grove city,7.6
CA,Pajaro CDP,31.9
CA,Pajaro Dunes CDP,21.6
CA,Pala CDP,25.8
CA,Palermo CDP,24.3
CA,Palmdale city,21.3
CA,Palm Desert city,10.8
CA,Palm Springs city,18.9
CA,Palo Alto city,5.4
CA,Palo Cedro CDP,2.2
CA,Palos Verdes Estates city,3.6
CA,Palo Verde CDP,0
CA,Panorama Heights CDP,0
CA,Paradise town,16
CA,Paradise CDP,6.5
CA,Paradise Park CDP,0
CA,Paramount city,23.1
CA,Parklawn CDP,20.3
CA,Parksdale CDP,36.7
CA,Parkway CDP,29.5
CA,Parkwood CDP,31.2
CA,Parlier city,42.3
CA,Pasadena city,15.3
CA,Pasatiempo CDP,0
CA,Paskenta CDP,8.3
CA,Patterson city,21.8
CA,Patterson Tract CDP,18.3
CA,Patton Village CDP,2.8
CA,Paxton CDP,-
CA,Paynes Creek CDP,5.7
CA,Pearsonville CDP,0
CA,Penngrove CDP,9.4
CA,Penn Valley CDP,43.8
CA,Penryn CDP,7.6
CA,Perris city,25.3
CA,Pescadero CDP,28.5
CA,Petaluma city,9.3
CA,Peters CDP,0
CA,Phelan CDP,17
CA,Phillipsville CDP,0
CA,Philo CDP,27.8
CA,Phoenix Lake CDP,5.5
CA,Pico Rivera city,13.7
CA,Piedmont city,5.2
CA,Pierpoint CDP,0
CA,Pike CDP,39.8
CA,Pine Canyon CDP,9.9
CA,Pine Flat CDP,24.5
CA,Pine Grove CDP,13.1
CA,Pine Hills CDP,16.1
CA,Pine Mountain Club CDP,11.5
CA,Pine Mountain Lake CDP,10.2
CA,Pine Valley CDP,9.1
CA,Pinole city,7.8
CA,Pi_on Hills CDP,18.2
CA,Pioneer CDP,7.7
CA,Piru CDP,10.1
CA,Pismo Beach city,7.1
CA,Pittsburg city,17.9
CA,Pixley CDP,50.2
CA,Placentia city,11.4
CA,Placerville city,18.5
CA,Plainview CDP,66.8
CA,Planada CDP,28.5
CA,Pleasant Hill city,9.9
CA,Pleasanton city,4.4
CA,Pleasure Point CDP,13.9
CA,Plumas Eureka CDP,3.9
CA,Plumas Lake CDP,4.4
CA,Plymouth city,16
CA,Point Arena city,16.6
CA,Point Reyes Station CDP,24
CA,Pollock Pines CDP,15.5
CA,Pomona city,22.1
CA,Ponderosa CDP,0
CA,Poplar-Cotton Center CDP,55.4
CA,Port Costa CDP,0
CA,Porterville city,30.9
CA,Port Hueneme city,15
CA,Portola city,21
CA,Portola Valley town,3.7
CA,Posey CDP,0
CA,Poso Park CDP,0
CA,Potrero CDP,8.8
CA,Potter Valley CDP,5
CA,Poway city,6
CA,Prattville CDP,0
CA,Princeton CDP,3.5
CA,Proberta CDP,4.5
CA,Prunedale CDP,9.8
CA,Quartz Hill CDP,21.8
CA,Quincy CDP,21.4
CA,Rackerby CDP,0
CA,Rail Road Flat CDP,33.5
CA,Rainbow CDP,12.6
CA,Raisin City CDP,58.2
CA,Ramona CDP,9.5
CA,Rancho Calaveras CDP,5.3
CA,Rancho Cordova city,17.2
CA,Rancho Cucamonga city,8.8
CA,Rancho Mirage city,11
CA,Rancho Murieta CDP,3.6
CA,Rancho Palos Verdes city,4.3
CA,Rancho San Diego CDP,8.8
CA,Rancho Santa Fe CDP,11.9
CA,Rancho Santa Margarita city,4
CA,Rancho Tehama Reserve CDP,43.2
CA,Randsburg CDP,10.7
CA,Red Bluff city,24
CA,Red Corral CDP,29.9
CA,Redcrest CDP,0
CA,Redding city,18.8
CA,Redlands city,14.3
CA,Redondo Beach city,4.7
CA,Redway CDP,10
CA,Redwood City city,9.4
CA,Redwood Valley CDP,5.4
CA,Reedley city,26.7
CA,Reliez Valley CDP,3.3
CA,Rialto city,19.7
CA,Richfield CDP,13.1
CA,Richgrove CDP,49.9
CA,Richmond city,17.5
CA,Richvale CDP,0
CA,Ridgecrest city,15.4
CA,Ridgemark CDP,2.3
CA,Rio Dell city,16.7
CA,Rio del Mar CDP,4.9
CA,Rio Linda CDP,18.7
CA,Rio Oso CDP,9.7
CA,Rio Vista city,11.7
CA,Ripley CDP,36.9
CA,Ripon city,9.8
CA,Riverbank city,12.1
CA,Riverdale CDP,32.2
CA,Riverdale Park CDP,29.1
CA,River Pines CDP,0
CA,Riverside city,18.8
CA,Robbins CDP,46.7
CA,Robinson Mill CDP,-
CA,Rocklin city,8.6
CA,Rodeo CDP,13
CA,Rodriguez Camp CDP,83
CA,Rohnert Park city,15.2
CA,Rolling Hills city,2
CA,Rolling Hills CDP,2.7
CA,Rolling Hills Estates city,5.4
CA,Rollingwood CDP,21.5
CA,Romoland CDP,15.7
CA,Rosamond CDP,18.7
CA,Rosedale CDP,5.7
CA,Rose Hills CDP,11.5
CA,Roseland CDP,13.4
CA,Rosemead city,19.3
CA,Rosemont CDP,17.4
CA,Roseville city,8.8
CA,Ross town,5.1
CA,Rossmoor CDP,2.9
CA,Rough and Ready CDP,17
CA,Round Mountain CDP,38.1
CA,Round Valley CDP,10
CA,Rouse CDP,47.3
CA,Rowland Heights CDP,11.8
CA,Running Springs CDP,12
CA,Ruth CDP,12
CA,Rutherford CDP,0
CA,Sacramento city,22
CA,St. Helena city,11.4
CA,Salida CDP,8.7
CA,Salinas city,20.2
CA,Salmon Creek CDP,0
CA,Salton City CDP,26.4
CA,Salton Sea Beach CDP,67.6
CA,Samoa CDP,34.3
CA,San Andreas CDP,15.8
CA,San Anselmo town,4.6
CA,San Antonio Heights CDP,3.8
CA,San Ardo CDP,28.8
CA,San Bernardino city,33.4
CA,San Bruno city,6.2
CA,San Buenaventura (Ventura) city,11.4
CA,San Carlos city,3.6
CA,San Clemente city,8
CA,Sand City city,30.8
CA,San Diego city,15.4
CA,San Diego Country Estates CDP,4
CA,San Dimas city,6.8
CA,San Fernando city,18.9
CA,San Francisco city,13.2
CA,San Gabriel city,13.8
CA,Sanger city,23
CA,San Geronimo CDP,10.4
CA,San Jacinto city,20.4
CA,San Joaquin city,54.2
CA,San Jose city,11.3
CA,San Juan Bautista city,8.9
CA,San Juan Capistrano city,15.4
CA,San Leandro city,10.6
CA,San Lorenzo CDP,8.8
CA,San Lucas CDP,38.2
CA,San Luis Obispo city,33.4
CA,San Marcos city,16
CA,San Marino city,5.5
CA,San Martin CDP,6.7
CA,San Mateo city,7.6
CA,San Miguel CDP (Contra Costa County),0.5
CA,San Miguel CDP (San Luis Obispo County),19.1
CA,San Pablo city,21.3
CA,San Pasqual CDP,2.6
CA,San Rafael city,13.2
CA,San Ramon city,4.2
CA,San Simeon CDP,34.5
CA,Santa Ana city,22.1
CA,Santa Barbara city,13.9
CA,Santa Clara city,8.4
CA,Santa Clarita city,9.3
CA,Santa Cruz city,23.8
CA,Santa Fe Springs city,12.6
CA,Santa Margarita CDP,15.2
CA,Santa Maria city,21.2
CA,Santa Monica city,11.3
CA,Santa Nella CDP,58.7
CA,Santa Paula city,18
CA,Santa Rosa city,12.6
CA,Santa Rosa Valley CDP,5.4
CA,Santa Susana CDP,13.4
CA,Santa Venetia CDP,9.7
CA,Santa Ynez CDP,8.3
CA,Santee city,7.8
CA,Saranap CDP,8.8
CA,Saratoga city,3.6
CA,Saticoy CDP,38.7
CA,Sattley CDP,0
CA,Sausalito city,5.6
CA,Scotia CDP,5.9
CA,Scotts Valley city,4.8
CA,Seacliff CDP,9.2
CA,Seal Beach city,8.1
CA,Sea Ranch CDP,2.2
CA,Searles Valley CDP,23.9
CA,Seaside city,18.7
CA,Sebastopol city,9.8
CA,Seeley CDP,40.4
CA,Selma city,24.3
CA,Sequoia Crest CDP,0
CA,Sereno del Mar CDP,26.2
CA,Seville CDP,62.6
CA,Shafter city,21.7
CA,Shandon CDP,11.9
CA,Shasta CDP,6.5
CA,Shasta Lake city,19.7
CA,Shaver Lake CDP,0.7
CA,Shell Ridge CDP,2.5
CA,Shelter Cove CDP,46.4
CA,Sheridan CDP,29.2
CA,Shingle Springs CDP,16.4
CA,Shingletown CDP,14.1
CA,Shoshone CDP,0
CA,Sierra Brooks CDP,0
CA,Sierra City CDP,4.6
CA,Sierra Madre city,5.7
CA,Sierra Village CDP,4.6
CA,Sierraville CDP,9.1
CA,Signal Hill city,18.1
CA,Silverado Resort CDP,2.4
CA,Silver City CDP,-
CA,Silver Lakes CDP,11.5
CA,Simi Valley city,6.1
CA,Sisquoc CDP,9.3
CA,Sky Valley CDP,24.8
CA,Sleepy Hollow CDP,4.3
CA,Smartsville CDP,3.7
CA,Smith Corner CDP,23.6
CA,Smith River CDP,27.8
CA,Snelling CDP,10.6
CA,Soda Bay CDP,13.9
CA,Soda Springs CDP,0
CA,Solana Beach city,6.8
CA,Soledad city,19.7
CA,Solvang city,11.1
CA,Sonoma city,10.4
CA,Sonora city,28
CA,Soquel CDP,12.9
CA,Soulsbyville CDP,7.4
CA,South Dos Palos CDP,17.5
CA,South El Monte city,20.5
CA,South Gate city,20
CA,South Lake Tahoe city,18.5
CA,South Monrovia Island CDP,15.5
CA,South Oroville CDP,41
CA,South Pasadena city,7.8
CA,South San Francisco city,7.8
CA,South San Gabriel CDP,13.1
CA,South San Jose Hills CDP,19.9
CA,South Taft CDP,19.9
CA,South Whittier CDP,14
CA,Spaulding CDP,2.3
CA,Spreckels CDP,1.8
CA,Spring Garden CDP,-
CA,Spring Valley CDP (Lake County),31.4
CA,Spring Valley CDP (San Diego County),12
CA,Spring Valley Lake CDP,10.5
CA,Springville CDP,30.1
CA,Squaw Valley CDP,5.6
CA,Squirrel Mountain Valley CDP,7.9
CA,Stallion Springs CDP,9
CA,Stanford CDP,21.8
CA,Stanton city,21.8
CA,Stevenson Ranch CDP,5.6
CA,Stevinson CDP,9.3
CA,Stinson Beach CDP,3.5
CA,Stirling City CDP,53.4
CA,Stockton city,25.3
CA,Stonyford CDP,27.7
CA,Storrie CDP,-
CA,Stratford CDP,59.2
CA,Strathmore CDP,50.8
CA,Strawberry CDP (Marin County),14.2
CA,Strawberry CDP (Tuolumne County),0
CA,Sugarloaf Mountain Park CDP,-
CA,Sugarloaf Saw Mill CDP,-
CA,Sugarloaf Village CDP,0
CA,Suisun City city,14.3
CA,Sultana CDP,60.5
CA,Summerland CDP,7.2
CA,Sunnyside CDP,18.7
CA,Sunnyside-Tahoe City CDP,6.8
CA,Sunny Slopes CDP,0
CA,Sunnyvale city,7.5
CA,Sunol CDP,10.5
CA,Sun Village CDP,18.6
CA,Susanville city,22.6
CA,Sutter CDP,8.5
CA,Sutter Creek city,19
CA,Swall Meadows CDP,2.1
CA,Taft city,20.6
CA,Taft Heights CDP,24.7
CA,Taft Mosswood CDP,21.8
CA,Tahoe Vista CDP,14.4
CA,Tahoma CDP,13.6
CA,Talmage CDP,10.9
CA,Tamalpais-Homestead Valley CDP,4.3
CA,Tara Hills CDP,12.3
CA,Tarpey Village CDP,12.7
CA,Taylorsville CDP,0
CA,Tecopa CDP,48.4
CA,Tehachapi city,22
CA,Tehama city,17.1
CA,Temecula city,7
CA,Temelec CDP,9.2
CA,Temescal Valley CDP,8
CA,Temple City city,9.6
CA,Templeton CDP,6.9
CA,Tennant CDP,69
CA,Terminous CDP,5.1
CA,Terra Bella CDP,35.3
CA,Teviston CDP,70.3
CA,Thermal CDP,38.3
CA,Thermalito CDP,32
CA,Thornton CDP,37.6
CA,Thousand Oaks city,6.2
CA,Thousand Palms CDP,10.1
CA,Three Rivers CDP,11.7
CA,Three Rocks CDP,0
CA,Tiburon town,3.6
CA,Timber Cove CDP,18.1
CA,Tipton CDP,33.1
CA,Tobin CDP,100
CA,Tomales CDP,13
CA,Tonyville CDP,48.6
CA,Tooleville CDP,7.9
CA,Topanga CDP,5.1
CA,Topaz CDP,35.1
CA,Toro Canyon CDP,3.2
CA,Torrance city,7
CA,Tracy city,8.6
CA,Tranquillity CDP,42.5
CA,Traver CDP,39
CA,Tres Pinos CDP,3.4
CA,Trinidad city,5.9
CA,Trinity Center CDP,17.1
CA,Trinity Village CDP,23.1
CA,Trona CDP,-
CA,Trowbridge CDP,4.5
CA,Truckee town,6.5
CA,Tulare city,21.7
CA,Tulelake city,27.3
CA,Tuolumne City CDP,38.3
CA,Tupman CDP,42.1
CA,Turlock city,17.5
CA,Tustin city,13.6
CA,Tuttle CDP,-
CA,Tuttletown CDP,1.5
CA,Twain CDP,0
CA,Twain Harte CDP,9.1
CA,Twentynine Palms city,17.9
CA,Twin Lakes CDP,15.6
CA,Ukiah city,26.5
CA,Union City city,8.1
CA,University of California-Davis CDP,53.7
CA,University of California-Merced CDP,-
CA,Upland city,15.5
CA,Upper Lake CDP,32.4
CA,Vacaville city,10.7
CA,Valinda CDP,12.5
CA,Vallecito CDP,4.1
CA,Vallejo city,18.3
CA,Valle Vista CDP,23.2
CA,Valley Acres CDP,7.5
CA,Valley Center CDP,8.5
CA,Valley Ford CDP,85.2
CA,Valley Home CDP,10.3
CA,Valley Ranch CDP,0
CA,Valley Springs CDP,16.9
CA,Valley Wells CDP,-
CA,Val Verde CDP,16.8
CA,Vandenberg AFB CDP,6.4
CA,Vandenberg Village CDP,7.7
CA,Verdi CDP,26.2
CA,Vernon city,2.4
CA,Victor CDP,43.2
CA,Victorville city,26
CA,View Park-Windsor Hills CDP,8.7
CA,Villa Park city,3.7
CA,Vina CDP,16
CA,Vincent CDP,8.4
CA,Vine Hill CDP,18.4
CA,Vineyard CDP,13.5
CA,Visalia city,21.3
CA,Vista city,17.8
CA,Vista Santa Rosa CDP,23.6
CA,Volcano CDP,0
CA,Volta CDP,0
CA,Walker CDP,8.9
CA,Wallace CDP,0
CA,Walnut city,6.7
CA,Walnut Creek city,5.9
CA,Walnut Grove CDP,15.8
CA,Walnut Park CDP,19.1
CA,Warm Springs CDP,7.5
CA,Warner Valley CDP,0
CA,Wasco city,32.7
CA,Washington CDP,75
CA,Waterford city,25
CA,Waterloo CDP,0
CA,Watsonville city,19.7
CA,Waukena CDP,12.6
CA,Wawona CDP,31.6
CA,Weaverville CDP,15.8
CA,Weed city,32.9
CA,Weedpatch CDP,42.8
CA,Weldon CDP,29.3
CA,Weott CDP,12.2
CA,West Athens CDP,25.7
CA,West Bishop CDP,3
CA,West Carson CDP,8.2
CA,West Covina city,10.3
CA,West Goshen CDP,76.4
CA,Westhaven-Moonstone CDP,17
CA,West Hollywood city,15.3
CA,Westlake Village city,6.1
CA,Westley CDP,60.6
CA,West Menlo Park CDP,4
CA,Westminster city,17.8
CA,West Modesto CDP,41.2
CA,Westmont CDP,37
CA,Westmorland city,42.4
CA,West Park CDP,27.1
CA,West Point CDP,36.8
CA,West Puente Valley CDP,8.6
CA,West Rancho Dominguez CDP,20.3
CA,West Sacramento city,17.7
CA,Westside CDP,26.2
CA,West Whittier-Los Nietos CDP,8.9
CA,Westwood CDP,24.2
CA,Wheatland city,18.1
CA,Whitehawk CDP,0
CA,Whitewater CDP,47
CA,Whitley Gardens CDP,0
CA,Whittier city,12.5
CA,Wildomar city,15
CA,Wilkerson CDP,0.5
CA,Williams city,15.7
CA,Willits city,30.7
CA,Willowbrook CDP,29.4
CA,Willow Creek CDP,39.2
CA,Willows city,18.7
CA,Wilsonia CDP,-
CA,Wilton CDP,11.2
CA,Winchester CDP,14.1
CA,Windsor town,4.1
CA,Winter Gardens CDP,12.8
CA,Winterhaven CDP,45.6
CA,Winters city,5.3
CA,Winton CDP,24.4
CA,Wofford Heights CDP,2.6
CA,Woodacre CDP,2.8
CA,Woodbridge CDP,9.3
CA,Woodcrest CDP,8.9
CA,Woodlake city,29.9
CA,Woodland city,14
CA,Woodlands CDP,0
CA,Woodside town,4.5
CA,Woodville CDP,51.8
CA,Wrightwood CDP,11.6
CA,Yankee Hill CDP,29.3
CA,Yettem CDP,44.3
CA,Yolo CDP,4.7
CA,Yorba Linda city,3.6
CA,Yosemite Lakes CDP,12.1
CA,Yosemite Valley CDP,10.7
CA,Yountville city,7.2
CA,Yreka city,34.3
CA,Yuba City city,18.5
CA,Yucaipa city,16.7
CA,Yucca Valley town,21
CA,Zayante CDP,7.7
CO,Acres Green CDP,5.1
CO,Aetna Estates CDP,26.3
CO,Aguilar town,14.8
CO,Air Force Academy CDP,3.4
CO,Akron town,12.6
CO,Alamosa city,35.1
CO,Alamosa East CDP,28.4
CO,Allenspark CDP,3
CO,Alma town,20.5
CO,Alpine CDP,0
CO,Altona CDP,10.2
CO,Amherst CDP,71.4
CO,Antonito town,35.4
CO,Applewood CDP,7.7
CO,Arboles CDP,5.3
CO,Aristocrat Ranchettes CDP,4.3
CO,Arriba town,16.5
CO,Arvada city,8.4
CO,Aspen city,8.8
CO,Aspen Park CDP,9.9
CO,Atwood CDP,0
CO,Ault town,15.3
CO,Aurora city,15.3
CO,Avon town,12.8
CO,Avondale CDP,37.9
CO,Bark Ranch CDP,0
CO,Basalt town,6.4
CO,Battlement Mesa CDP,6.1
